worker,source_file,recording_type,candidate_rank,candidate_time_seconds,event_peak_acceleration_g,event_peak_gyroscope_dps,event_peak_jerk_g_per_second,event_rotation_integral_deg,posture_change_post_deg,posture_change_late_deg,post_accel_std_g,post_gyro_mean_dps,late_accel_std_g,late_gyro_mean_dps,event_peak_acceleration_g_n,event_peak_gyroscope_dps_n,event_peak_jerk_g_per_second_n,event_rotation_integral_deg_n,posture_change_late_deg_n,post_accel_std_g_n,post_gyro_mean_dps_n,verification_score,verification_logic,verification_rank
hong_jean,(die2) HJ motion_data.csv,fall_like,1,84.16,6.3284,1110.7997,74.4569,859.5846,158.7239,158.7239,0.002,0.5134,0.0016,0.483,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,fall_like: impact + rotation + jerk + sustained posture change,1
hong_jean,(die2) HJ motion_data.csv,fall_like,2,10.36,3.704,630.9412,66.1288,578.8129,65.2504,56.4561,0.791,230.3639,0.7393,241.1854,0.2518,0.2105,0.6355,0.1826,0.2619,1.0,1.0,0.3079,fall_like: impact + rotation + jerk + sustained posture change,2
hong_jean,(die2) HJ motion_data.csv,fall_like,3,15.04,2.8208,502.962,51.6118,516.0999,23.7975,20.1698,0.6173,196.0531,0.6159,202.8186,0.0,0.0,0.0,0.0,0.0,0.7799,0.8507,0.0,fall_like: impact + rotation + jerk + sustained posture change,3
hong_jean,(near miss) HJ motion_data.csv,near_miss,2,1.57,4.5771,1144.8848,69.3889,869.8948,77.2604,133.0549,0.6005,303.7851,0.3646,190.6504,1.0,1.0,0.2367,1.0,1.0,1.0,1.0,0.7973,near_miss: disturbance + rotation + recovery movement + posture return,1
hong_jean,(near miss) HJ motion_data.csv,near_miss,1,53.17,4.2426,399.0194,95.9193,291.4882,64.0635,65.5988,0.2627,104.9328,0.1452,89.7286,0.588,0.0,1.0,0.0,0.4683,0.0,0.0,0.3148,near_miss: disturbance + rotation + recovery movement + posture return,2
hong_jean,(near miss) HJ motion_data.csv,near_miss,3,45.49,3.765,676.4952,61.1613,597.3463,9.805,6.1894,0.5142,158.6378,0.92,246.4867,0.0,0.372,0.0,0.5288,0.0,0.7443,0.2701,0.3079,near_miss: disturbance + rotation + recovery movement + posture return,3
kwanteng,KT_Fall_cleaned.csv,fall_like,1,16.17,3.0452,1129.8708,44.6044,566.5331,8.6625,13.9856,0.2478,92.0531,0.2078,80.1098,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6,fall_like: impact + rotation + jerk + sustained posture change,1
kwanteng,KT_Fall_cleaned.csv,fall_like,2,25.69,3.0791,486.6179,32.142,486.7935,90.0087,89.9349,0.1627,24.1179,0.0036,1.502,0.3897,0.0,0.0,0.8007,1.0,0.3432,0.0,0.4076,fall_like: impact + rotation + jerk + sustained posture change,2
kwanteng,KT_Fall_cleaned.csv,fall_like,3,6.53,3.1323,560.7508,36.4496,166.4126,,,0.1182,44.0617,0.1719,156.0618,1.0,0.1152,0.3457,0.0,,0.0,0.2936,,fall_like: impact + rotation + jerk + sustained posture change,3
kwanteng,KT_NearMissed_cleaned.csv,near_miss,1,16.53,4.0149,1130.8664,44.9267,469.1119,2.3527,9.8904,0.1925,73.2927,0.3225,133.7147,1.0,1.0,0.2862,1.0,1.0,0.0,0.0,0.6072,near_miss: disturbance + rotation + recovery movement + posture return,1
kwanteng,KT_NearMissed_cleaned.csv,near_miss,3,36.73,2.5515,994.0091,36.2974,322.5988,12.5542,4.3766,0.3053,99.2387,0.1691,75.2701,0.0,0.6069,0.0,0.0,0.0,1.0,0.5634,0.3059,near_miss: disturbance + rotation + recovery movement + posture return,2
kwanteng,KT_NearMissed_cleaned.csv,near_miss,2,4.17,3.9525,782.7055,66.446,330.2817,,,0.3011,119.3467,0.305,241.4115,0.9574,0.0,1.0,0.0524,,0.9634,1.0,,near_miss: disturbance + rotation + recovery movement + posture return,3
