worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps
kwanteng,fall_like,KT_Fall_cleaned.csv,1,2026-08-03 12:34:20.296,6.365983,,0.01,0.0,0.99,0.12,-0.43,-0.31,0.9900505037623081,0.5435071296680477
kwanteng,fall_like,KT_Fall_cleaned.csv,2,2026-08-03 12:34:20.296,6.366306,0.3229999999998512,-0.2,0.19,0.76,172.3,111.76,192.2,0.8085171612278863,281.27998080204713
kwanteng,fall_like,KT_Fall_cleaned.csv,4,2026-08-03 12:34:20.322,6.391904,25.598000000000454,-0.62,1.37,0.05,260.93,155.15,164.49,1.5045929682143275,345.2722802369168
kwanteng,fall_like,KT_Fall_cleaned.csv,5,2026-08-03 12:34:20.323,6.39282,0.9160000000001389,-0.87,2.15,-0.69,180.36,133.18,57.62,2.4198140424421046,231.48802647221305
kwanteng,fall_like,KT_Fall_cleaned.csv,7,2026-08-03 12:34:20.365,6.435277,42.456999999999745,-0.45,1.71,-0.55,-15.2,7.08,-137.02,1.8517829246431667,138.04219210082113
kwanteng,fall_like,KT_Fall_cleaned.csv,9,2026-08-03 12:34:20.409,6.479534,44.25699999999999,0.56,0.27,0.35,-164.43,-135.56,-354.37,0.7134423592694787,413.5115904058797
kwanteng,fall_like,KT_Fall_cleaned.csv,11,2026-08-03 12:34:20.453,6.523013,43.4789999999996,1.33,-1.6,1.12,-264.59,-179.08,-468.2,2.362900759659618,566.8233891610331
kwanteng,fall_like,KT_Fall_cleaned.csv,12,2026-08-03 12:34:20.496,6.566408,43.395000000000294,1.3,-2.67,1.02,-267.21,-103.33,-382.75,3.139952228935975,478.0960525877619
kwanteng,fall_like,KT_Fall_cleaned.csv,14,2026-08-03 12:34:20.540,6.610299,43.891000000000346,0.87,-2.61,0.29,-132.26,12.63,-165.22,2.7664236841091423,212.01385072678625
kwanteng,fall_like,KT_Fall_cleaned.csv,16,2026-08-03 12:34:20.627,6.697534,87.23499999999973,0.62,-2.26,-0.02,-17.33,39.92,49.8,2.3435869943315524,66.13603631909007
kwanteng,fall_like,KT_Fall_cleaned.csv,20,2026-08-03 12:34:20.671,6.741427,43.89299999999974,0.33,-0.09,0.63,234.99,0.67,326.84,0.7168681887209113,402.5483009528173
kwanteng,fall_like,KT_Fall_cleaned.csv,21,2026-08-03 12:34:20.672,6.741799,0.37200000000048306,-0.26,1.4,0.26,338.75,75.13,324.89,1.4474805698177782,475.34155246517213
kwanteng,fall_like,KT_Fall_cleaned.csv,23,2026-08-03 12:34:20.715,6.785873,44.07399999999928,-0.77,1.61,-0.06,170.23,95.15,195.68,1.7856651421809187,276.26515849813563
kwanteng,fall_like,KT_Fall_cleaned.csv,25,2026-08-03 12:34:20.759,6.829295,43.422000000000516,-0.73,0.61,0.32,-69.34,11.78,-1.59,1.0036931802099682,70.35148967861306
kwanteng,fall_like,KT_Fall_cleaned.csv,27,2026-08-03 12:34:20.803,6.87305,43.75499999999999,-0.37,-0.35,1.0,-105.41,-75.26,-130.19,1.1222299229658776,183.64305540912784
kwanteng,fall_like,KT_Fall_cleaned.csv,28,2026-08-03 12:34:20.890,6.960114,87.06399999999981,-0.13,-0.9,1.33,-41.14,-88.32,-141.66,1.6111486585663037,171.9316073326833
kwanteng,fall_like,KT_Fall_cleaned.csv,30,2026-08-03 12:34:20.891,6.961379,1.2650000000000716,-0.11,-1.04,1.19,-10.74,-44.01,-86.55,1.5842348310777667,97.68894615052412
kwanteng,fall_like,KT_Fall_cleaned.csv,32,2026-08-03 12:34:20.934,7.003881,42.50199999999982,-0.19,-0.8,0.89,16.54,4.52,-27.04,1.2116930304330384,32.01817608796603
kwanteng,fall_like,KT_Fall_cleaned.csv,34,2026-08-03 12:34:20.978,7.047945,44.06400000000055,-0.27,-0.49,0.73,38.27,24.54,6.84,0.9197282207261012,45.973797972323325
kwanteng,fall_like,KT_Fall_cleaned.csv,35,2026-08-03 12:34:21.109,7.179058,131.11300000000003,-0.32,-0.31,0.74,27.1,15.01,20.45,0.8637708029332781,37.120245150052554
kwanteng,fall_like,KT_Fall_cleaned.csv,37,2026-08-03 12:34:21.110,7.180212,1.1539999999996553,-0.34,-0.25,0.81,8.61,-2.81,21.91,0.9133454987024353,23.708148388265162
kwanteng,fall_like,KT_Fall_cleaned.csv,39,2026-08-03 12:34:21.111,7.181682,1.4700000000003044,-0.34,-0.25,0.87,-1.53,-13.06,17.15,0.9669539802906858,21.610807481443167
kwanteng,fall_like,KT_Fall_cleaned.csv,41,2026-08-03 12:34:21.152,7.222806,41.12399999999994,-0.34,-0.25,0.88,-1.65,-13.85,10.25,0.9759610647971567,17.309173868212195
kwanteng,fall_like,KT_Fall_cleaned.csv,43,2026-08-03 12:34:21.196,7.26627,43.46399999999928,-0.33,-0.26,0.89,7.57,-11.29,1.1,0.9841747812253675,13.637411777899795
kwanteng,fall_like,KT_Fall_cleaned.csv,44,2026-08-03 12:34:21.196,7.26681,0.5400000000008731,-0.31,-0.27,0.91,10.07,-9.64,-7.08,0.9985489472229191,15.635245440990047
kwanteng,fall_like,KT_Fall_cleaned.csv,46,2026-08-03 12:34:21.240,7.310541,43.7309999999993,-0.3,-0.28,0.88,5.0,-6.71,-12.27,0.9709788875150684,14.851834903472366
kwanteng,fall_like,KT_Fall_cleaned.csv,48,2026-08-03 12:34:21.285,7.354519,43.97800000000007,-0.29,-0.29,0.84,2.01,-5.13,-16.91,0.9347726996441433,17.784968372195664
