worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
kwanteng,normal_work,KT_Normal.csv,1,2026-08-03T12:22:22.854,1.028992,,-0.7,-0.7,0.44,-30.88,-76.29,-48.65,1.0833282051160673,95.60628117440821,"-0.70,-0.70,0.44,-30.88,-76.29,-48.65"
kwanteng,normal_work,KT_Normal.csv,2,2026-08-03T12:22:22.881,1.055947,26.955000000000062,-0.65,-0.63,0.34,-7.75,-69.34,-22.4,0.9669539802906859,73.27931563545064,"-0.65,-0.63,0.34,-7.75,-69.34,-22.40"
kwanteng,normal_work,KT_Normal.csv,3,2026-08-03T12:22:22.909,1.083646,27.69900000000014,-0.66,-0.42,0.37,82.82,-96.62,13.06,0.8653900854527974,127.92630847484031,"-0.66,-0.42,0.37,82.82,-96.62,13.06"
kwanteng,normal_work,KT_Normal.csv,4,2026-08-03T12:22:22.922,1.097344,13.697999999999988,-0.66,-0.42,0.37,82.82,-96.62,13.06,0.8653900854527974,127.92630847484031,"-0.66,-0.42,0.37,82.82,-96.62,13.06"
kwanteng,normal_work,KT_Normal.csv,5,2026-08-03T12:22:22.950,1.124987,27.642999999999862,-0.69,-0.32,0.56,150.39,-139.34,-3.23,0.9445104552094699,205.04443567188065,"-0.69,-0.32,0.56,150.39,-139.34,-3.23"
kwanteng,normal_work,KT_Normal.csv,6,2026-08-03T12:22:22.977,1.152458,27.471000000000025,-0.68,-0.43,0.74,169.25,-143.74,-48.95,1.0931148155614763,227.3826127917436,"-0.68,-0.43,0.74,169.25,-143.74,-48.95"
kwanteng,normal_work,KT_Normal.csv,7,2026-08-03T12:22:23.004,1.179581,27.123000000000008,-0.68,-0.43,0.74,169.25,-143.74,-48.95,1.0931148155614763,227.3826127917436,"-0.68,-0.43,0.74,169.25,-143.74,-48.95"
kwanteng,normal_work,KT_Normal.csv,8,2026-08-03T12:22:23.032,1.207286,27.70500000000009,-0.67,-0.51,0.83,171.2,-106.63,-21.48,1.1823282116231515,202.83191883922015,"-0.67,-0.51,0.83,171.20,-106.63,-21.48"
kwanteng,normal_work,KT_Normal.csv,9,2026-08-03T12:22:23.046,1.220837,13.550999999999869,-0.67,-0.51,0.83,171.2,-106.63,-21.48,1.1823282116231515,202.83191883922015,"-0.67,-0.51,0.83,171.20,-106.63,-21.48"
kwanteng,normal_work,KT_Normal.csv,10,2026-08-03T12:22:23.080,1.255157,34.32000000000013,-0.69,-0.41,0.85,112.55,-89.84,79.22,1.169059451011795,164.3609944603646,"-0.69,-0.41,0.85,112.55,-89.84,79.22"
kwanteng,normal_work,KT_Normal.csv,11,2026-08-03T12:22:23.124,1.298732,43.57499999999992,-0.69,-0.41,0.85,112.55,-89.84,79.22,1.169059451011795,164.3609944603646,"-0.69,-0.41,0.85,112.55,-89.84,79.22"
kwanteng,normal_work,KT_Normal.csv,12,2026-08-03T12:22:23.124,1.299188,0.45600000000001195,-0.58,-0.38,0.88,-21.36,-115.91,133.97,1.1203570859328733,178.43581086766187,"-0.58,-0.38,0.88,-21.36,-115.91,133.97"
kwanteng,normal_work,KT_Normal.csv,13,2026-08-03T12:22:23.167,1.342542,43.35399999999989,-0.44,-0.44,0.91,-110.41,-98.02,102.17,1.1024064586167843,179.54664407891337,"-0.44,-0.44,0.91,-110.41,-98.02,102.17"
kwanteng,normal_work,KT_Normal.csv,14,2026-08-03T12:22:23.167,1.342763,0.22100000000002673,-0.44,-0.44,0.91,-110.41,-98.02,102.17,1.1024064586167843,179.54664407891337,"-0.44,-0.44,0.91,-110.41,-98.02,102.17"
kwanteng,normal_work,KT_Normal.csv,15,2026-08-03T12:22:23.211,1.386099,43.33600000000004,-0.55,-0.43,0.84,-76.84,0.43,62.44,1.0922453936730518,99.0117371830229,"-0.55,-0.43,0.84,-76.84,0.43,62.44"
kwanteng,normal_work,KT_Normal.csv,16,2026-08-03T12:22:23.212,1.386693,0.5939999999999834,-0.55,-0.43,0.84,-76.84,0.43,62.44,1.0922453936730518,99.0117371830229,"-0.55,-0.43,0.84,-76.84,0.43,62.44"
kwanteng,normal_work,KT_Normal.csv,17,2026-08-03T12:22:23.255,1.429859,43.16600000000004,-0.77,-0.35,0.72,7.02,72.39,49.32,1.110765501804949,87.87522347055511,"-0.77,-0.35,0.72,7.02,72.39,49.32"
