worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
pierre,fall_like,(die) pieere.csv,1,2026-08-03T12:19:26.490,0.027785,,0.27,0.37,-1.87,-250.31,284.36,-16.66,1.9252792005317048,379.20081922379865,"0.27,0.37,-1.87,-250.31,284.36,-16.66"
pierre,fall_like,(die) pieere.csv,2,2026-08-03T12:19:26.517,0.055492,27.707,0.79,0.97,-3.26,-8.85,163.45,-118.41,3.491790371714774,202.02760479696826,"0.79,0.97,-3.26,-8.85,163.45,-118.41"
pierre,fall_like,(die) pieere.csv,3,2026-08-03T12:19:26.562,0.100502,45.00999999999999,2.43,0.4,-1.26,301.64,-220.89,-265.87,2.766315238724611,458.7656685062648,"2.43,0.40,-1.26,301.64,-220.89,-265.87"
pierre,fall_like,(die) pieere.csv,4,2026-08-03T12:19:26.608,0.145829,45.32699999999999,3.93,-1.59,2.42,345.52,-538.51,-272.95,4.881536643312226,695.6139683761389,"3.93,-1.59,2.42,345.52,-538.51,-272.95"
pierre,fall_like,(die) pieere.csv,5,2026-08-03T12:19:26.638,0.176211,30.38200000000002,4.0,-1.57,4.0,156.8,-342.47,17.94,5.870681391457043,377.08591129873844,"4.00,-1.57,4.00,156.80,-342.47,17.94"
pierre,fall_like,(die) pieere.csv,6,2026-08-03T12:19:26.699,0.237022,60.81100000000001,2.63,1.1,1.59,29.54,326.11,378.05,3.264199748789893,500.1421260002001,"2.63,1.10,1.59,29.54,326.11,378.05"
pierre,fall_like,(die) pieere.csv,7,2026-08-03T12:19:26.743,0.280996,43.97400000000001,0.67,1.9,-2.56,95.58,770.26,268.98,3.257683225852385,821.4537384417944,"0.67,1.90,-2.56,95.58,770.26,268.98"
pierre,fall_like,(die) pieere.csv,8,2026-08-03T12:19:26.758,0.296672,15.675999999999968,1.39,0.3,-3.28,232.97,390.81,-156.31,3.5749825174397705,481.0824181987947,"1.39,0.30,-3.28,232.97,390.81,-156.31"
pierre,fall_like,(die) pieere.csv,9,2026-08-03T12:19:26.803,0.341628,44.955999999999996,3.19,-1.03,-0.06,276.79,-383.48,-314.21,3.3527004041518533,567.8006151810687,"3.19,-1.03,-0.06,276.79,-383.48,-314.21"
pierre,fall_like,(die) pieere.csv,10,2026-08-03T12:19:26.848,0.385921,44.29300000000003,3.15,-1.06,3.38,224.85,-737.98,-154.97,4.7403058973024095,786.8848097402821,"3.15,-1.06,3.38,224.85,-737.98,-154.97"
pierre,fall_like,(die) pieere.csv,11,2026-08-03T12:19:26.877,0.415683,29.76200000000001,1.55,-0.35,3.99,190.98,-483.4,38.02,4.294775896365258,521.1472352416349,"1.55,-0.35,3.99,190.98,-483.40,38.02"
pierre,fall_like,(die) pieere.csv,12,2026-08-03T12:19:26.928,0.466174,50.49099999999995,0.1,0.22,2.31,137.57,7.02,128.23,2.3226062946612367,188.19595691725152,"0.10,0.22,2.31,137.57,7.02,128.23"
pierre,fall_like,(die) pieere.csv,13,2026-08-03T12:19:26.968,0.506378,40.204000000000015,-0.52,0.25,0.57,32.23,295.9,123.11,0.8110487038396645,322.105037216123,"-0.52,0.25,0.57,32.23,295.90,123.11"
pierre,fall_like,(die) pieere.csv,14,2026-08-03T12:19:27.002,0.540319,33.941,-0.5,-0.14,-0.01,-56.52,282.59,54.99,0.5193264869039514,293.3862958626391,"-0.50,-0.14,-0.01,-56.52,282.59,54.99"
pierre,fall_like,(die) pieere.csv,15,2026-08-03T12:19:27.042,0.580615,40.296,-0.28,-0.43,0.34,-139.4,101.81,4.21,0.6155485358604957,172.671248909597,"-0.28,-0.43,0.34,-139.40,101.81,4.21"
pierre,fall_like,(die) pieere.csv,16,2026-08-03T12:19:27.090,0.627887,47.27199999999998,0.0,-0.48,0.86,-133.12,-40.89,-24.78,0.9848857801796105,141.4460140831123,"0.00,-0.48,0.86,-133.12,-40.89,-24.78"
