signature_label,feature,count,median,q05,q95,min,max
normal,pre_impact_min_accel_g,427,0.79016,0.28969,0.99696,0.05548,2.15022
normal,impact_peak_accel_g,427,1.47703,1.16576,2.80293,0.98727,3.99668
normal,impact_peak_gyro_dps,427,221.95477,117.54674,520.17446,0.42355,990.95399
normal,accel_rise_min_to_impact_g,427,0.74298,0.19135,2.29525,0.00075,3.64092
normal,time_min_to_impact_s,427,0.56,0.12,2.08,0.04,2.88
normal,pre_impact_low_g_duration_lt_0_8_s,427,0.04,0.0,0.52,0.0,1.56
normal,pre_impact_low_g_duration_lt_0_6_s,427,0.0,0.0,0.24,0.0,1.56
normal,pre_impact_low_g_duration_lt_0_4_s,427,0.0,0.0,0.108,0.0,1.28
near_miss,pre_impact_min_accel_g,4,0.64312,0.23632,0.85485,0.19962,0.85712
near_miss,impact_peak_accel_g,4,4.14218,4.0189,4.78544,4.01486,4.88124
near_miss,impact_peak_gyro_dps,4,773.01161,425.58487,1106.72156,399.01943,1130.86639
near_miss,accel_rise_min_to_impact_g,4,3.80494,3.24258,4.04239,3.18469,4.04294
near_miss,time_min_to_impact_s,4,1.1,0.602,1.36,0.56,1.36
near_miss,pre_impact_low_g_duration_lt_0_8_s,4,0.08,0.0,0.738,0.0,0.84
near_miss,pre_impact_low_g_duration_lt_0_6_s,4,0.04,0.0,0.624,0.0,0.72
near_miss,pre_impact_low_g_duration_lt_0_4_s,4,0.0,0.0,0.34,0.0,0.4
fall,pre_impact_min_accel_g,4,0.5814,0.1626,0.845,0.10347,0.87674
fall,impact_peak_accel_g,4,3.54286,2.75061,5.98526,2.69863,6.32845
fall,impact_peak_gyro_dps,4,955.46776,389.51011,1127.01013,317.04675,1129.87079
fall,accel_rise_min_to_impact_g,4,2.85564,2.05375,5.82266,2.03351,6.22498
fall,time_min_to_impact_s,4,0.58,0.264,1.032,0.24,1.08
fall,pre_impact_low_g_duration_lt_0_8_s,4,0.2,0.018,0.382,0.0,0.4
fall,pre_impact_low_g_duration_lt_0_6_s,4,0.12,0.0,0.274,0.0,0.28
fall,pre_impact_low_g_duration_lt_0_4_s,4,0.0,0.0,0.136,0.0,0.16
