feature,near_miss_cohens_d,near_miss_abs_d,near_miss_effect_strength,near_miss_direction_vs_normal,near_miss_common_language_effect,fall_cohens_d,fall_abs_d,fall_effect_strength,fall_direction_vs_normal,fall_common_language_effect,combined_conservative_score,near_miss_rank,fall_rank,combined_rank
gyro_max_dps,2.9525,2.9525,very_large,higher,0.8563,3.1448,3.1448,very_large,higher,0.8759,2.9525,3,2,1
accel_max_g,3.7208,3.7208,very_large,higher,0.9306,2.8476,2.8476,very_large,higher,0.7803,2.8476,1,3,2
axis_accel_std_total_g,2.9569,2.9569,very_large,higher,0.9175,2.7409,2.7409,very_large,higher,0.8505,2.7409,2,4,3
gyro_std_dps,2.7344,2.7344,very_large,higher,0.8666,3.2746,3.2746,very_large,higher,0.8719,2.7344,7,1,4
accel_range_g,2.9445,2.9445,very_large,higher,0.9097,2.4402,2.4402,very_large,higher,0.7909,2.4402,4,5,5
accel_std_g,2.7341,2.7341,very_large,higher,0.9024,2.2941,2.2941,very_large,higher,0.7804,2.2941,8,6,6
gyro_sma_dps,2.2815,2.2815,very_large,higher,0.8339,2.1598,2.1598,very_large,higher,0.8208,2.1598,11,7,7
gyro_mean_dps,2.2929,2.2929,very_large,higher,0.8382,2.1489,2.1489,very_large,higher,0.8135,2.1489,10,8,8
accel_mean_g,2.818,2.818,very_large,higher,0.859,2.1431,2.1431,very_large,higher,0.7259,2.1431,6,9,9
sma_g,2.9092,2.9092,very_large,higher,0.8662,2.1032,2.1032,very_large,higher,0.7418,2.1032,5,10,10
jerk_mean_g_per_second,1.9657,1.9657,very_large,higher,0.8697,1.7799,1.7799,very_large,higher,0.8012,1.7799,13,11,11
jerk_std_g_per_second,2.1276,2.1276,very_large,higher,0.8642,1.386,1.386,very_large,higher,0.7677,1.386,12,13,12
jerk_max_g_per_second,2.4548,2.4548,very_large,higher,0.8669,1.3734,1.3734,very_large,higher,0.7562,1.3734,9,14,13
orientation_change_deg,1.3072,1.3072,very_large,higher,0.7604,1.712,1.712,very_large,higher,0.799,1.3072,14,12,14
accel_min_g,-0.1558,0.1558,very_small,lower,0.412,-0.5074,0.5074,medium,lower,0.3554,0.1558,15,15,15
