feature,primary_label,count,mean,median,std,q25,q75,min,max
accel_mean_g,normal,953,1.0869671983210911,1.04339,0.16397935978315822,1.00193,1.11733,0.30878,2.33039
accel_mean_g,near_miss,24,1.6001304166666668,1.40886,0.5411099664215107,1.1839725,2.003125,0.77573,2.86313
accel_mean_g,fall,24,1.5269375,1.29308,0.8207629045152204,1.0287875,1.531065,0.9802,4.3549
accel_std_g,normal,953,0.205214721930745,0.15185,0.17978884978054407,0.09722,0.25069,0.0,1.54564
accel_std_g,near_miss,24,0.7183683333333333,0.669555,0.39421241216056263,0.40256,0.98715,0.11667,1.44589
accel_std_g,fall,24,0.6519429166666667,0.5887800000000001,0.5191662530273203,0.299485,0.84977,0.03854,1.91222
accel_min_g,normal,953,0.762077869884575,0.82255,0.20619504158576288,0.66803,0.8961,0.05548,2.0607
accel_min_g,near_miss,24,0.7291016666666668,0.659165,0.37377154888196507,0.47098249999999997,0.8553649999999999,0.19962,1.57852
accel_min_g,fall,24,0.6571125000000001,0.71938,0.23355404959117018,0.49769,0.797255,0.10347,0.96952
accel_max_g,normal,953,1.4717325708289613,1.34263,0.4375521839881692,1.21017,1.58695,0.48528,3.99668
accel_max_g,near_miss,24,3.222755833333333,3.3268,1.2100000753069207,2.1161825,4.0919975,1.3595,4.88124
accel_max_g,fall,24,2.8986179166666663,2.667475,1.6489793134357233,1.67262,3.5836975000000004,1.11722,6.32845
accel_range_g,normal,953,0.7096546169989507,0.52212,0.5828774532372275,0.36747,0.861,0.0,3.62403
accel_range_g,near_miss,24,2.4936529166666666,2.65466,1.2240658328149823,1.4684675,3.5980075,0.50239,4.04294
accel_range_g,fall,24,2.2415033333333336,2.16326,1.6258678952877865,1.1991575,2.9342775,0.14771,5.38952
gyro_mean_dps,normal,953,102.4983028121721,95.74164,59.56525153093915,63.149,136.52156,0.34649,428.22474
gyro_mean_dps,near_miss,24,247.68260625000002,203.358135,151.98351111044755,129.81267000000003,343.0511325,87.09539,652.9175
gyro_mean_dps,fall,24,237.84893249999996,183.15979,146.02998184624676,117.0964425,328.6850225,63.5001,574.01666
gyro_std_dps,normal,953,45.002169139559285,40.30913,29.865195720147998,27.72148,56.77519,0.0,312.87266
gyro_std_dps,near_miss,24,132.80061791666665,113.677955,82.38856957173985,64.2685575,192.50415750000002,22.44806,281.39165
gyro_std_dps,fall,24,154.547115,136.080165,102.57084970972775,68.960235,220.14018000000002,36.84294,347.17028
gyro_max_dps,normal,953,191.3158053934942,179.17313,111.70957418243748,130.10375,237.72858,0.37792,990.95399
gyro_max_dps,near_miss,24,551.33516,473.21943999999996,337.33761960787876,256.5561225,924.5117775,128.89913,1130.86639
gyro_max_dps,fall,24,577.1422433333333,476.72778000000005,348.6493728183112,314.64133749999996,811.2854075,153.82583,1129.87079
jerk_mean_g_per_second,normal,953,2.027805424973767,1.54576,1.812102911777743,0.98912,2.43992,0.0,12.47042
jerk_mean_g_per_second,near_miss,24,5.6233562500000005,6.073085,2.4304552007191407,4.3296174999999995,7.244405,0.85126,9.51466
jerk_mean_g_per_second,fall,24,5.348797083333333,4.906005,3.4157387612669616,3.2667,7.432169999999999,0.60134,12.92622
jerk_std_g_per_second,normal,953,3.0480987722980064,2.19074,2.9074035554369284,1.36257,3.73153,0.0,23.59341
jerk_std_g_per_second,near_miss,24,9.409940416666666,8.869965,5.398468459372431,4.89164,12.27507,1.63549,20.99466
jerk_std_g_per_second,fall,24,7.144233750000001,7.105505000000001,4.512847293695606,3.4576124999999998,10.279385,0.82933,15.28779
jerk_max_g_per_second,normal,953,12.605489968520462,9.06502,12.036690871077445,5.52306,15.29427,0.0,86.04662
jerk_max_g_per_second,near_miss,24,43.619055,39.53675,27.739004869002407,20.00723,63.0362825,5.97806,95.91929
jerk_max_g_per_second,fall,24,29.478117916666665,33.422635,20.02689272349405,12.6358125,40.316379999999995,2.99557,74.45691
sma_g,normal,953,1.5037757397691502,1.46564,0.26709305484322654,1.31348,1.64081,0.43704,3.03392
sma_g,near_miss,24,2.3651433333333336,2.060995,0.8737026917051095,1.74451,2.799975,1.05812,4.55797
sma_g,fall,24,2.201989583333333,1.7781,1.3111300770426655,1.48634,2.22992,1.2889,6.72725
gyro_sma_dps,normal,953,147.26869720881427,138.32958,86.9311716682018,90.00518,197.4735,0.52009,637.20778
gyro_sma_dps,near_miss,24,359.1512979166667,292.66534,229.8449847849344,202.715025,487.69838749999997,117.53705,975.61931
gyro_sma_dps,fall,24,345.97641125,283.83543,214.55099878653434,175.93618,476.703645,89.17582,846.91147
orientation_change_deg,normal,953,22.115599727177333,16.94884,20.767991976754942,9.93564,28.0174,0.0,155.91638
orientation_change_deg,near_miss,24,50.051622083333335,42.951395000000005,38.83754096965247,17.7331625,64.2249975,7.90487,165.52333
orientation_change_deg,fall,24,58.72831,44.939465,39.177154536196554,24.311105,97.303765,9.70376,121.68483
axis_accel_std_total_g,normal,953,0.3657662434417629,0.31337,0.2358062662025996,0.22888,0.44917,0.0,1.63908
axis_accel_std_total_g,near_miss,24,1.0994745833333333,1.047255,0.5554625514789193,0.5598025,1.584235,0.37699,2.16822
axis_accel_std_total_g,fall,24,1.110062916666667,0.78505,0.9079761387808993,0.6092875,1.2430025,0.12722,3.57858
