worker,primary_label,accel_mean_g,accel_std_g,accel_min_g,accel_max_g,accel_range_g,gyro_mean_dps,gyro_std_dps,gyro_max_dps,jerk_mean_g_per_second,jerk_std_g_per_second,jerk_max_g_per_second,sma_g,gyro_sma_dps,orientation_change_deg,axis_accel_std_total_g
hong_jean,fall,1.861335,1.294125,0.86476,5.50258,4.7110199999999995,290.19551,287.821655,949.974985,7.967415,11.93251,43.35478,2.70561,403.73771999999997,96.627515,2.048465
hong_jean,near_miss,1.19564,0.666455,0.333105,3.1334049999999998,2.90338,132.522955,83.15038,335.018915,5.68824,10.525805,53.199355,1.78024,180.16977500000002,68.24719999999999,0.8337
hong_jean,normal,1.02129,0.130855,0.842375,1.28903,0.45228999999999997,86.650075,37.2076,155.283525,1.3157100000000002,1.948545,8.327845,1.51985,121.93462500000001,13.963135000000001,0.25751
kwanteng,fall,1.0324550000000001,0.25353000000000003,0.7437,1.64705,1.0290400000000002,165.13236,113.63811000000001,456.58221000000003,3.07842,3.243875,11.769045,1.412735,239.67966,54.048915,0.68119
kwanteng,near_miss,1.334085,0.644415,0.54571,3.121175,2.626195,159.74767500000002,137.72826,570.523185,6.341385,5.456365,25.553235,1.8173650000000001,222.870715,37.124265,1.06449
kwanteng,normal,1.03465,0.11925,0.84179,1.27577,0.43332,65.25516,31.6842,138.24455,1.49294,1.73082,6.64875,1.31087,91.87231,15.28785,0.26912
pierre,fall,1.52438,0.733105,0.5204249999999999,3.3219849999999997,2.626925,290.925425,172.763285,709.42694,6.64756,6.54,27.932789999999997,2.29663,425.56118000000004,44.939465,0.97774
pierre,near_miss,1.8087900000000001,0.66517,0.9250050000000001,3.13455,2.546025,301.702505,112.81012,547.41945,5.872529999999999,8.264455,28.91606,2.83257,450.597685,36.339434999999995,1.016685
pierre,normal,1.06708,0.23004,0.6886,1.5333,0.83707,126.45838,49.13908,211.76794,2.27492,3.73571,15.01348,1.46217,180.75749,24.56794,0.45114
ziqian,fall,1.242875,0.54207,0.72984,2.45779,1.75373,124.72809000000001,62.15174,254.707335,3.6165,7.105505000000001,34.53215,1.6139999999999999,183.76371,22.90228,0.622355
ziqian,near_miss,1.879685,0.89535,0.85478,4.87412,3.69519,377.13048,220.011795,950.50515,6.693785,14.158484999999999,71.31779,2.777585,567.9890700000001,46.983940000000004,1.5329899999999999
ziqian,normal,1.11313,0.1833,0.84835,1.46793,0.61237,138.01071,49.21107,220.84415,1.45359,2.55582,9.96961,1.61473,188.50085,14.94902,0.34013
