startup_grace_seconds,cooldown_seconds,reliable_incidents_matched,reliable_incidents_tested,false_negatives,reliable_detection_rate,total_extra_alerts_all_recordings,normal_recordings_with_alert,normal_recordings_tested,total_normal_alerts,uncertain_ziqian_fall_matched
0.0,6.0,7,7,0,1.0,18,1,4,2,0
0.0,8.0,7,7,0,1.0,16,1,4,2,0
0.0,10.0,6,7,1,0.857143,16,1,4,2,0
0.0,12.0,5,7,2,0.714286,15,1,4,2,0
0.0,15.0,4,7,3,0.571429,13,1,4,2,0
0.0,20.0,4,7,3,0.571429,13,1,4,2,0
2.0,6.0,7,7,0,1.0,15,1,4,2,0
2.0,8.0,7,7,0,1.0,14,1,4,2,0
2.0,10.0,5,7,2,0.714286,14,1,4,2,0
2.0,12.0,5,7,2,0.714286,14,1,4,2,0
2.0,15.0,5,7,2,0.714286,12,1,4,2,0
2.0,20.0,5,7,2,0.714286,12,1,4,2,0
3.0,6.0,7,7,0,1.0,14,1,4,1,0
3.0,8.0,7,7,0,1.0,13,1,4,1,0
3.0,10.0,5,7,2,0.714286,13,1,4,1,0
3.0,12.0,5,7,2,0.714286,13,1,4,1,0
3.0,15.0,5,7,2,0.714286,11,1,4,1,0
3.0,20.0,5,7,2,0.714286,11,1,4,1,0
5.0,6.0,7,7,0,1.0,13,1,4,1,0
5.0,8.0,7,7,0,1.0,12,1,4,1,0
5.0,10.0,5,7,2,0.714286,12,1,4,1,0
5.0,12.0,5,7,2,0.714286,12,1,4,1,0
5.0,15.0,5,7,2,0.714286,10,1,4,1,0
5.0,20.0,5,7,2,0.714286,10,1,4,1,0
