quantile,required_votes,reliable_incidents_detected,reliable_incidents_tested,reliable_incident_detection_rate,near_miss_detected,near_miss_tested,fall_detected,fall_tested,workers_with_normal_false_alarm,workers_tested,normal_position_false_positive_rate,mean_normal_recording_false_alarm_rate
0.9,2,7,7,1.0,4,4,3,3,3,4,0.168565,0.75
0.9,3,7,7,1.0,4,4,3,3,3,4,0.063781,0.75
0.925,2,7,7,1.0,4,4,3,3,3,4,0.138952,0.75
0.925,3,6,7,0.857143,3,4,3,3,3,4,0.04328,0.75
0.95,2,7,7,1.0,4,4,3,3,3,4,0.084282,0.75
0.95,3,6,7,0.857143,3,4,3,3,3,4,0.027335,0.75
0.975,2,7,7,1.0,4,4,3,3,2,4,0.025057,0.5
0.975,3,6,7,0.857143,3,4,3,3,0,4,0.0,0.0
0.98,2,7,7,1.0,4,4,3,3,2,4,0.015945,0.5
0.98,3,5,7,0.714286,3,4,2,3,0,4,0.0,0.0
0.99,2,7,7,1.0,4,4,3,3,1,4,0.01139,0.25
0.99,3,4,7,0.571429,2,4,2,3,0,4,0.0,0.0
0.995,2,7,7,1.0,4,4,3,3,1,4,0.01139,0.25
0.995,3,4,7,0.571429,2,4,2,3,0,4,0.0,0.0
