packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload,worker,work_state,source_file
1,2026-07-27T13:19:57.261,0.086881,,0.06,-0.06,0.99,0.49,0.24,-0.67,0.9936297097007516,0.8640601830891179,"0.06,-0.06,0.99,0.49,0.24,-0.67",hong_jean,near_miss,(near miss) HJ motion_data.csv
2,2026-07-27T13:19:57.306,0.132174,45.2938,0.06,-0.06,1.0,0.73,-0.85,-0.49,1.0035935432235503,1.222906374175881,"0.06,-0.06,1.00,0.73,-0.85,-0.49",hong_jean,near_miss,(near miss) HJ motion_data.csv
3,2026-07-27T13:19:57.308,0.134598,2.4241,0.06,-0.06,1.01,0.06,-2.2,0.0,1.0135580891098448,2.20081802973349,"0.06,-0.06,1.01,0.06,-2.20,0.00",hong_jean,near_miss,(near miss) HJ motion_data.csv
4,2026-07-27T13:19:57.349,0.175622,41.023,0.06,-0.06,1.01,-0.98,-2.44,0.85,1.0135580891098448,2.7634217919094435,"0.06,-0.06,1.01,-0.98,-2.44,0.85",hong_jean,near_miss,(near miss) HJ motion_data.csv
5,2026-07-27T13:19:57.394,0.22048,44.8581,0.06,-0.05,1.01,-1.83,-2.01,1.77,1.013015300970326,3.243747832369218,"0.06,-0.05,1.01,-1.83,-2.01,1.77",hong_jean,near_miss,(near miss) HJ motion_data.csv
6,2026-07-27T13:19:57.424,0.250552,30.0726,0.06,-0.06,1.0,-2.26,-1.53,1.4,1.0035935432235503,3.0673278272789815,"0.06,-0.06,1.00,-2.26,-1.53,1.40",hong_jean,near_miss,(near miss) HJ motion_data.csv
7,2026-07-27T13:19:57.514,0.340538,89.9857,0.07,-0.06,1.0,-2.5,-3.11,-0.49,1.0042410069301093,4.020223874363217,"0.07,-0.06,1.00,-2.50,-3.11,-0.49",hong_jean,near_miss,(near miss) HJ motion_data.csv
8,2026-07-27T13:19:57.515,0.340961,0.4228,0.08,-0.07,1.01,-3.54,-7.51,-2.93,1.0155786527886455,8.80435119699345,"0.08,-0.07,1.01,-3.54,-7.51,-2.93",hong_jean,near_miss,(near miss) HJ motion_data.csv
9,2026-07-27T13:19:57.545,0.371175,30.214,0.08,-0.04,1.03,-3.91,-8.0,-5.0,1.0338762014864256,10.212154522920224,"0.08,-0.04,1.03,-3.91,-8.00,-5.00",hong_jean,near_miss,(near miss) HJ motion_data.csv
10,2026-07-27T13:19:57.604,0.430229,59.0546,0.06,0.08,1.27,3.42,9.28,-11.41,1.2739309243440164,15.099764898832033,"0.06,0.08,1.27,3.42,9.28,-11.41",hong_jean,near_miss,(near miss) HJ motion_data.csv
