packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload,worker,work_state,source_file
1,2026-07-27T13:54:26.433,0.038939,,-0.28,0.26,1.02,-69.15,17.21,-10.44,1.0892199043352082,72.02013746168498,"-0.28,0.26,1.02,-69.15,17.21,-10.44",pierre,near_miss,(near miss) P.csv
2,2026-07-27T13:54:26.462,0.067637,28.6977,-0.47,0.09,0.96,-78.98,1.22,-9.09,1.07266024443903,79.51073449541263,"-0.47,0.09,0.96,-78.98,1.22,-9.09",pierre,near_miss,(near miss) P.csv
3,2026-07-27T13:54:26.492,0.097787,30.1501,-0.36,0.07,0.93,-77.09,-16.91,3.17,0.999699954986495,78.98648681894898,"-0.36,0.07,0.93,-77.09,-16.91,3.17",pierre,near_miss,(near miss) P.csv
4,2026-07-27T13:54:26.552,0.157728,59.9409,-0.16,0.13,0.93,-70.68,-8.36,20.02,0.9525754563287887,73.93478477685589,"-0.16,0.13,0.93,-70.68,-8.36,20.02",pierre,near_miss,(near miss) P.csv
5,2026-07-27T13:54:26.582,0.187411,29.6838,-0.22,0.04,0.93,-66.53,16.24,32.47,0.9565040512198577,75.79102453457138,"-0.22,0.04,0.93,-66.53,16.24,32.47",pierre,near_miss,(near miss) P.csv
6,2026-07-27T13:54:26.627,0.232411,44.9991,-0.31,-0.02,0.95,-58.84,34.97,31.74,0.999499874937461,75.44848639966213,"-0.31,-0.02,0.95,-58.84,34.97,31.74",pierre,near_miss,(near miss) P.csv
7,2026-07-27T13:54:26.673,0.278611,46.2007,-0.36,-0.02,0.96,-23.62,39.0,18.37,1.0254754994635416,49.15649804451086,"-0.36,-0.02,0.96,-23.62,39.00,18.37",pierre,near_miss,(near miss) P.csv
8,2026-07-27T13:54:26.702,0.307808,29.1967,-0.35,0.03,0.96,40.83,25.88,-7.26,1.0222524150130436,48.88323741324832,"-0.35,0.03,0.96,40.83,25.88,-7.26",pierre,near_miss,(near miss) P.csv
9,2026-07-27T13:54:26.732,0.337806,29.9978,-0.32,0.11,0.95,91.92,1.46,-42.6,1.0084641788382966,101.32214960214772,"-0.32,0.11,0.95,91.92,1.46,-42.60",pierre,near_miss,(near miss) P.csv
10,2026-07-27T13:54:26.777,0.382679,44.8735,-0.26,0.13,0.9,99.0,-21.97,-55.48,0.9457801012920498,115.59286872467523,"-0.26,0.13,0.90,99.00,-21.97,-55.48",pierre,near_miss,(near miss) P.csv
11,2026-07-27T13:54:26.822,0.428161,45.4822,-0.19,0.09,0.81,61.4,-23.99,-47.91,0.8368392916205597,81.49139954620978,"-0.19,0.09,0.81,61.40,-23.99,-47.91",pierre,near_miss,(near miss) P.csv
12,2026-07-27T13:54:26.852,0.457928,29.7669,-0.22,0.07,0.8,10.07,0.12,-46.75,0.8326463835266446,47.82239851784935,"-0.22,0.07,0.80,10.07,0.12,-46.75",pierre,near_miss,(near miss) P.csv
13,2026-07-27T13:54:26.912,0.517678,59.7496,-0.36,0.11,0.89,-11.72,20.02,-37.72,0.9663332758422427,44.28269639486737,"-0.36,0.11,0.89,-11.72,20.02,-37.72",pierre,near_miss,(near miss) P.csv
14,2026-07-27T13:54:26.973,0.578622,60.9441,-0.47,0.17,1.0,-8.06,15.56,-24.84,1.1179445424527998,30.399059195968547,"-0.47,0.17,1.00,-8.06,15.56,-24.84",pierre,near_miss,(near miss) P.csv
15,2026-07-27T13:54:26.974,0.579701,1.0789,-0.44,0.14,1.01,-0.24,0.85,-28.02,1.1105404089901456,28.0339169578566,"-0.44,0.14,1.01,-0.24,0.85,-28.02",pierre,near_miss,(near miss) P.csv
16,2026-07-27T13:54:27.032,0.637955,58.254,-0.33,0.1,0.93,12.51,13.06,-36.01,0.9918669265581952,40.2962008134762,"-0.33,0.10,0.93,12.51,13.06,-36.01",pierre,near_miss,(near miss) P.csv
17,2026-07-27T13:54:27.062,0.667736,29.7812,-0.33,0.13,0.89,28.99,55.85,-24.35,0.9580709785814411,67.47269892334232,"-0.33,0.13,0.89,28.99,55.85,-24.35",pierre,near_miss,(near miss) P.csv
18,2026-07-27T13:54:27.122,0.727809,60.0725,-0.42,0.13,0.9,38.7,73.67,-1.4,1.0016486409914407,83.22811363956292,"-0.42,0.13,0.90,38.70,73.67,-1.40",pierre,near_miss,(near miss) P.csv
19,2026-07-27T13:54:27.137,0.74265,14.8417,-0.41,0.15,0.92,42.79,43.33,18.98,1.0183319694480772,63.78646721680077,"-0.41,0.15,0.92,42.79,43.33,18.98",pierre,near_miss,(near miss) P.csv
20,2026-07-27T13:54:27.183,0.788183,45.5327,-0.35,0.25,0.91,51.45,7.14,44.07,1.0065286881157438,68.1193584820057,"-0.35,0.25,0.91,51.45,7.14,44.07",pierre,near_miss,(near miss) P.csv
21,2026-07-27T13:54:27.212,0.817533,29.3502,-0.34,0.35,0.89,63.05,-9.4,62.26,1.0149876846543509,89.10650986319686,"-0.34,0.35,0.89,63.05,-9.40,62.26",pierre,near_miss,(near miss) P.csv
22,2026-07-27T13:54:27.273,0.879171,61.638,-0.34,0.39,0.87,54.2,-19.47,68.66,1.0122252713699653,89.61538093430167,"-0.34,0.39,0.87,54.20,-19.47,68.66",pierre,near_miss,(near miss) P.csv
23,2026-07-27T13:54:27.317,0.922938,43.767,-0.33,0.44,0.92,42.11,-24.72,93.57,1.0718675291284834,105.54466068920776,"-0.33,0.44,0.92,42.11,-24.72,93.57",pierre,near_miss,(near miss) P.csv
24,2026-07-27T13:54:27.332,0.937681,14.7432,-0.42,0.48,0.99,47.91,-34.48,146.48,1.1776671855834313,157.92602350467766,"-0.42,0.48,0.99,47.91,-34.48,146.48",pierre,near_miss,(near miss) P.csv
25,2026-07-27T13:54:27.392,0.997569,59.8878,-0.51,0.5,1.0,35.03,-71.17,163.64,1.2288612614937457,181.85246602672177,"-0.51,0.50,1.00,35.03,-71.17,163.64",pierre,near_miss,(near miss) P.csv
26,2026-07-27T13:54:27.422,1.027696,30.1268,-0.43,0.47,1.02,0.06,-115.42,108.95,1.202580558632144,158.71950888280873,"-0.43,0.47,1.02,0.06,-115.42,108.95",pierre,near_miss,(near miss) P.csv
27,2026-07-27T13:54:27.453,1.058641,30.9447,-0.21,0.41,1.06,-38.27,-162.78,19.65,1.1557681428383464,168.36877323304344,"-0.21,0.41,1.06,-38.27,-162.78,19.65",pierre,near_miss,(near miss) P.csv
28,2026-07-27T13:54:27.497,1.102906,44.265,0.09,0.32,0.97,-69.76,-227.84,-45.78,1.025377979088687,242.63827315574105,"0.09,0.32,0.97,-69.76,-227.84,-45.78",pierre,near_miss,(near miss) P.csv
29,2026-07-27T13:54:27.557,1.162925,60.019,0.37,0.22,0.81,-76.29,-246.77,-51.57,0.9172785836374903,263.3914613270522,"0.37,0.22,0.81,-76.29,-246.77,-51.57",pierre,near_miss,(near miss) P.csv
30,2026-07-27T13:54:27.573,1.178567,15.6422,0.55,0.15,0.73,-57.01,-175.29,-15.56,0.9262289133902051,184.98334465567433,"0.55,0.15,0.73,-57.01,-175.29,-15.56",pierre,near_miss,(near miss) P.csv
31,2026-07-27T13:54:27.617,1.222498,43.9313,0.59,0.1,0.63,-21.67,-81.79,35.52,0.8689073598491384,91.76526249077045,"0.59,0.10,0.63,-21.67,-81.79,35.52",pierre,near_miss,(near miss) P.csv
32,2026-07-27T13:54:27.662,1.267583,45.0849,0.5,0.1,0.5,29.72,-8.73,83.8,0.714142842854285,89.34165489848506,"0.50,0.10,0.50,29.72,-8.73,83.80",pierre,near_miss,(near miss) P.csv
33,2026-07-27T13:54:27.723,1.328306,60.7232,0.37,0.17,0.43,76.17,45.41,104.06,0.5921992907797172,136.72022747201672,"0.37,0.17,0.43,76.17,45.41,104.06",pierre,near_miss,(near miss) P.csv
34,2026-07-27T13:54:27.842,1.448016,119.7092,0.3,0.29,0.43,92.04,52.12,89.72,0.5991660871578097,138.6994390760107,"0.30,0.29,0.43,92.04,52.12,89.72",pierre,near_miss,(near miss) P.csv
35,2026-07-27T13:54:27.843,1.448402,0.3867,0.31,0.4,0.43,88.2,12.82,58.72,0.6640783086353597,106.73158295462501,"0.31,0.40,0.43,88.20,12.82,58.72",pierre,near_miss,(near miss) P.csv
36,2026-07-27T13:54:27.843,1.448539,0.1368,0.38,0.5,0.42,82.34,-34.85,17.03,0.7555130707009641,91.0187837756581,"0.38,0.50,0.42,82.34,-34.85,17.03",pierre,near_miss,(near miss) P.csv
37,2026-07-27T13:54:27.903,1.508604,60.0653,0.48,0.59,0.38,78.92,-76.72,-28.99,0.8502352615599991,113.81891275179181,"0.48,0.59,0.38,78.92,-76.72,-28.99",pierre,near_miss,(near miss) P.csv
38,2026-07-27T13:54:27.904,1.509481,0.8766,0.59,0.67,0.33,79.1,-113.28,-66.65,0.9517877914745493,153.39944882560695,"0.59,0.67,0.33,79.10,-113.28,-66.65",pierre,near_miss,(near miss) P.csv
39,2026-07-27T13:54:27.963,1.568475,58.994,0.69,0.78,0.29,85.02,-131.77,-96.62,1.0810180387024075,184.1932618202957,"0.69,0.78,0.29,85.02,-131.77,-96.62",pierre,near_miss,(near miss) P.csv
40,2026-07-27T13:54:28.145,1.750263,181.7882,0.76,0.94,0.32,99.49,-121.95,-115.11,1.250439922587247,194.98813989573827,"0.76,0.94,0.32,99.49,-121.95,-115.11",pierre,near_miss,(near miss) P.csv
41,2026-07-27T13:54:28.145,1.750645,0.3814,0.71,1.09,0.37,125.79,-67.08,-104.0,1.352442235365341,176.4620369937965,"0.71,1.09,0.37,125.79,-67.08,-104.00",pierre,near_miss,(near miss) P.csv
42,2026-07-27T13:54:28.145,1.750765,0.1204,0.51,1.22,0.4,153.2,49.56,-86.06,1.3814847085653899,182.57260802212363,"0.51,1.22,0.40,153.20,49.56,-86.06",pierre,near_miss,(near miss) P.csv
