packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload,worker,work_state,source_file
1,2026-07-27T13:47:09.443,0.029033,,-0.05,-0.24,2.1,205.69,-156.62,-4.76,2.114261100242825,258.5746663925142,"-0.05,-0.24,2.10,205.69,-156.62,-4.76",pierre,normal_work,(normal) P motion_data.csv
2,2026-07-27T13:47:09.471,0.056889,27.8552,0.04,0.05,2.09,189.82,-140.44,-86.73,2.0909806311871946,251.54943629433956,"0.04,0.05,2.09,189.82,-140.44,-86.73",pierre,normal_work,(normal) P motion_data.csv
3,2026-07-27T13:47:09.516,0.101999,45.1103,0.06,0.56,1.86,195.19,-99.61,-102.91,1.9433990840792328,242.0986499342778,"0.06,0.56,1.86,195.19,-99.61,-102.91",pierre,normal_work,(normal) P motion_data.csv
4,2026-07-27T13:47:09.561,0.147554,45.5553,-0.23,1.03,1.48,163.21,-39.12,-37.41,1.817745856823775,171.95169845046604,"-0.23,1.03,1.48,163.21,-39.12,-37.41",pierre,normal_work,(normal) P motion_data.csv
5,2026-07-27T13:47:09.606,0.192613,45.0585,-0.51,1.31,1.01,99.37,25.82,81.24,1.730982380037417,130.92366821931014,"-0.51,1.31,1.01,99.37,25.82,81.24",pierre,normal_work,(normal) P motion_data.csv
6,2026-07-27T13:47:09.636,0.22198,29.3675,-0.13,1.28,0.76,44.49,44.8,216.25,1.4942891286494726,225.2786332522461,"-0.13,1.28,0.76,44.49,44.80,216.25",pierre,normal_work,(normal) P motion_data.csv
7,2026-07-27T13:47:09.683,0.269202,47.2216,0.45,0.88,0.68,-1.34,-52.0,323.36,1.1997082978791136,327.5171525279249,"0.45,0.88,0.68,-1.34,-52.00,323.36",pierre,normal_work,(normal) P motion_data.csv
8,2026-07-27T13:47:09.726,0.312166,42.9644,0.75,0.31,0.56,-41.81,-138.49,354.0,0.9860020283954795,382.418038538979,"0.75,0.31,0.56,-41.81,-138.49,354.00",pierre,normal_work,(normal) P motion_data.csv
9,2026-07-27T13:47:09.756,0.342201,30.0347,0.68,-0.01,0.36,-48.28,-96.07,293.7,0.7694803441284255,312.76203941655064,"0.68,-0.01,0.36,-48.28,-96.07,293.70",pierre,normal_work,(normal) P motion_data.csv
10,2026-07-27T13:47:09.801,0.387134,44.9333,0.45,0.07,0.16,-19.29,13.67,194.03,0.4827007354458868,195.4651219527412,"0.45,0.07,0.16,-19.29,13.67,194.03",pierre,normal_work,(normal) P motion_data.csv
11,2026-07-27T13:47:09.846,0.432364,45.2301,0.43,0.13,0.28,21.3,94.6,127.69,0.5293392107146419,160.33585406888878,"0.43,0.13,0.28,21.30,94.60,127.69",pierre,normal_work,(normal) P motion_data.csv
12,2026-07-27T13:47:09.876,0.462092,29.7278,0.64,0.07,0.66,45.41,103.94,112.67,0.9220086767487604,159.8753283030249,"0.64,0.07,0.66,45.41,103.94,112.67",pierre,normal_work,(normal) P motion_data.csv
13,2026-07-27T13:47:09.921,0.507047,44.9554,0.9,-0.09,0.76,11.6,39.98,129.64,1.1813974775662932,136.15979582828405,"0.90,-0.09,0.76,11.60,39.98,129.64",pierre,normal_work,(normal) P motion_data.csv
14,2026-07-27T13:47:09.966,0.552554,45.5066,0.98,-0.07,0.47,-19.23,-31.68,133.54,1.0891280916402808,138.58696511577125,"0.98,-0.07,0.47,-19.23,-31.68,133.54",pierre,normal_work,(normal) P motion_data.csv
15,2026-07-27T13:47:09.996,0.582381,29.8265,0.75,0.19,0.34,66.96,-2.2,134.28,0.8451035439518639,150.06531911137895,"0.75,0.19,0.34,66.96,-2.20,134.28",pierre,normal_work,(normal) P motion_data.csv
16,2026-07-27T13:47:10.041,0.627427,45.0465,0.5,0.41,0.49,170.17,105.59,144.9,0.8112952606788726,247.19038613991444,"0.50,0.41,0.49,170.17,105.59,144.90",pierre,normal_work,(normal) P motion_data.csv
17,2026-07-27T13:47:10.087,0.672976,45.5488,0.42,0.59,0.63,159.3,143.8,124.27,0.9598958276813166,247.98782812872088,"0.42,0.59,0.63,159.30,143.80,124.27",pierre,normal_work,(normal) P motion_data.csv
