min_cooldown_seconds,quiet_rearm_seconds,reliable_incidents_matched,reliable_incidents_tested,reliable_detection_rate,total_extra_alerts_all_recordings,normal_recordings_with_alert,normal_recordings_tested,total_normal_alerts,uncertain_ziqian_fall_matched
4.0,2.0,7,7,1.0,18,1,4,2,0
4.0,3.0,7,7,1.0,17,1,4,2,0
4.0,5.0,5,7,0.714286,14,1,4,2,0
4.0,8.0,4,7,0.571429,14,1,4,2,0
4.0,10.0,4,7,0.571429,13,1,4,2,0
4.0,15.0,4,7,0.571429,10,1,4,2,0
8.0,2.0,5,7,0.714286,16,1,4,2,0
8.0,3.0,5,7,0.714286,16,1,4,2,0
8.0,5.0,4,7,0.571429,14,1,4,2,0
8.0,8.0,4,7,0.571429,14,1,4,2,0
8.0,10.0,4,7,0.571429,13,1,4,2,0
8.0,15.0,4,7,0.571429,10,1,4,2,0
12.0,2.0,4,7,0.571429,13,1,4,2,0
12.0,3.0,4,7,0.571429,13,1,4,2,0
12.0,5.0,4,7,0.571429,13,1,4,2,0
12.0,8.0,4,7,0.571429,13,1,4,2,0
12.0,10.0,4,7,0.571429,12,1,4,2,0
12.0,15.0,4,7,0.571429,10,1,4,2,0
15.0,2.0,4,7,0.571429,13,1,4,2,0
15.0,3.0,4,7,0.571429,13,1,4,2,0
15.0,5.0,4,7,0.571429,13,1,4,2,0
15.0,8.0,4,7,0.571429,13,1,4,2,0
15.0,10.0,4,7,0.571429,12,1,4,2,0
15.0,15.0,4,7,0.571429,10,1,4,2,0
20.0,2.0,4,7,0.571429,13,1,4,2,0
20.0,3.0,4,7,0.571429,13,1,4,2,0
20.0,5.0,4,7,0.571429,13,1,4,2,0
20.0,8.0,4,7,0.571429,13,1,4,2,0
20.0,10.0,4,7,0.571429,12,1,4,2,0
20.0,15.0,4,7,0.571429,10,1,4,2,0
