worker,source_file,recording_type,is_normal_recording,expected_event_time_seconds,expected_event_type,reliable_for_score,number_of_alerts,confirmed_event_matched,nearest_detection_error_seconds,matched_alert_count,extra_alert_count,alert_times_seconds
hong_jean,(die2) HJ motion_data.csv,fall_like,False,84.16,fall_inactive,True,4,True,1.318,1,3,"10.34,20.84,37.34,82.84"
hong_jean,(near miss) HJ motion_data.csv,near_miss,False,53.17,near_miss,True,6,True,2.783,1,5,"0.89,44.89,50.39,65.39,77.39,89.39"
hong_jean,motion_data (hj).csv,normal_work,True,,normal,False,0,False,,0,0,
kwanteng,KT_Fall_cleaned.csv,fall_like,False,16.17,fall_recovery,True,1,True,1.004,1,0,15.17
kwanteng,KT_NearMissed_cleaned.csv,near_miss,False,16.53,near_miss,True,3,True,1.045,1,2,"4.49,9.48,15.48"
kwanteng,KT_Normal.csv,normal_work,True,,normal,False,0,False,,0,0,
pierre,(die) pieere.csv,fall_like,False,8.83,fall_recovery,True,3,True,1.002,1,2,"0.83,7.83,88.83"
pierre,(near miss) P.csv,near_miss,False,9.12,near_miss,True,1,True,0.219,1,0,9.34
pierre,(normal) P motion_data.csv,normal_work,True,,normal,False,2,False,,0,2,"1.33,30.83"
ziqian,ziqian_die_data.csv,fall_like,False,64.05,fall_recovery,False,0,False,,0,0,
ziqian,ziqian_near_miss_ die.csv,near_miss,False,58.46,near_miss,True,4,True,1.055,1,3,"6.41,17.91,31.41,57.41"
ziqian,ziqian_normal_work_data.csv,normal_work,True,,normal,False,0,False,,0,0,
