sequence_label,feature,count,median,mean,q95,max
normal,event_peak_acceleration_g,439,1.42622,1.5887,2.63198,3.99668
normal,event_peak_gyroscope_dps,439,204.98485,222.28462,481.06068,990.95399
normal,event_peak_jerk_g_per_second,439,11.55084,16.09513,46.27398,86.04662
normal,event_rotation_integral_deg,439,193.19066,202.0412,378.51219,611.28765
normal,posture_change_post_deg,439,9.16483,19.52932,70.85439,137.3292
normal,posture_change_late_deg,439,9.80164,22.53086,79.12923,134.95416
normal,post_accel_std_g,439,0.17069,0.23809,0.61938,1.04171
normal,post_gyro_mean_dps,439,99.2759,102.95654,176.78797,280.35433
normal,late_accel_std_g,439,0.17708,0.2419,0.63966,0.98813
normal,late_gyro_mean_dps,439,97.76762,102.18127,172.3144,286.19566
near_miss,event_peak_acceleration_g,4,4.14218,4.29512,4.78544,4.88124
near_miss,event_peak_gyroscope_dps,4,758.66014,761.80153,1106.72156,1130.86639
near_miss,event_peak_jerk_g_per_second,4,66.4945,68.45874,93.74457,95.91929
near_miss,event_rotation_integral_deg,4,507.74508,576.98651,932.77925,1000.96766
near_miss,posture_change_post_deg,4,52.37874,44.11381,68.55285,69.34509
near_miss,posture_change_late_deg,4,45.72158,42.46394,68.08372,68.52224
near_miss,post_accel_std_g,4,0.23616,0.38073,0.7688,0.85811
near_miss,post_gyro_mean_dps,4,125.40259,129.07933,185.26741,192.21948
near_miss,late_accel_std_g,4,0.18554,0.2097,0.30317,0.32254
near_miss,late_gyro_mean_dps,4,104.93309,108.32736,130.8176,133.71469
fall,event_peak_acceleration_g,4,3.54286,4.0282,5.98526,6.32845
fall,event_peak_gyroscope_dps,4,955.46776,839.46326,1127.01013,1129.87079
fall,event_peak_jerk_g_per_second,4,41.95397,48.32285,69.97903,74.45691
fall,event_rotation_integral_deg,4,578.69059,585.26786,819.27416,859.58464
fall,posture_change_post_deg,4,25.22922,54.46122,139.79457,158.72393
fall,posture_change_late_deg,4,54.02266,70.18872,147.41131,158.72393
fall,post_accel_std_g,4,0.30956,0.39397,0.86726,0.95479
fall,post_gyro_mean_dps,4,114.18571,118.70838,229.50417,245.94873
fall,late_accel_std_g,4,0.1647,0.14462,0.2415,0.24745
fall,late_gyro_mean_dps,4,66.57031,74.07496,150.29122,162.67618
