worker,source_file,recording_type,center_seconds,sequence_label,event_subtype,event_peak_acceleration_g,event_peak_gyroscope_dps,event_peak_jerk_g_per_second,event_rotation_integral_deg,posture_change_post_deg,posture_change_late_deg,post_accel_std_g,post_gyro_mean_dps,late_accel_std_g,late_gyro_mean_dps
hong_jean,(die2) HJ motion_data.csv,fall_like,84.16,fall,fall_inactive,6.32845,1110.79972,74.45691,859.58464,158.72393,158.72393,0.00199,0.51335,0.00162,0.48302
hong_jean,(near miss) HJ motion_data.csv,near_miss,53.17,near_miss,near_miss,4.24256,399.01943,95.91929,291.48822,64.06351,65.59875,0.26274,104.93283,0.14516,89.72857
hong_jean,motion_data (hj).csv,normal_work,3.458,normal,normal_work,1.7021,277.57922,16.80006,254.19575,103.69965,101.15511,0.21728,102.99886,0.0035,4.86091
hong_jean,motion_data (hj).csv,normal_work,4.458,normal,normal_work,1.7021,514.77547,23.83961,456.66499,105.37131,105.13151,0.11809,31.35362,0.00412,4.22068
hong_jean,motion_data (hj).csv,normal_work,5.458,normal,normal_work,1.58549,514.77547,23.83961,346.61191,100.09735,99.72623,0.11264,20.42566,0.00556,4.65664
hong_jean,motion_data (hj).csv,normal_work,6.458,normal,normal_work,1.45606,243.19409,10.62584,120.15017,83.99357,83.69375,0.00329,4.9141,0.0566,16.27265
hong_jean,motion_data (hj).csv,normal_work,7.458,normal,normal_work,1.45606,143.18918,10.62584,60.27916,10.1201,11.40003,0.00366,4.58922,0.10966,52.1231
hong_jean,motion_data (hj).csv,normal_work,8.458,normal,normal_work,0.98508,13.6859,0.25548,11.09397,5.94496,5.19321,0.0047,4.07859,0.12214,85.26227
hong_jean,motion_data (hj).csv,normal_work,9.458,normal,normal_work,0.98727,12.73616,0.2827,9.23794,0.3802,3.3918,0.05947,9.7944,0.21683,123.93476
hong_jean,motion_data (hj).csv,normal_work,10.458,normal,normal_work,0.98959,10.6295,0.3844,8.60095,1.07254,7.85794,0.09027,39.09459,0.23403,135.8668
hong_jean,motion_data (hj).csv,normal_work,11.458,normal,normal_work,0.99145,8.2424,0.3844,7.15415,2.26389,8.39132,0.1208,71.67272,0.2431,147.57137
hong_jean,motion_data (hj).csv,normal_work,12.458,normal,normal_work,1.17024,73.05555,3.36187,14.09463,3.82678,9.43091,0.13347,116.75846,0.25722,145.53878
hong_jean,motion_data (hj).csv,normal_work,13.458,normal,normal_work,1.26175,145.77723,9.61382,68.2276,8.54592,20.06936,0.22495,135.09293,0.17852,130.00678
hong_jean,motion_data (hj).csv,normal_work,14.458,normal,normal_work,1.33405,203.6338,10.55625,181.71644,6.76032,23.80761,0.23754,157.97905,0.1573,120.06196
hong_jean,motion_data (hj).csv,normal_work,15.458,normal,normal_work,1.33405,525.51882,10.55625,279.43089,6.8485,36.23661,0.26249,151.63438,0.13983,99.39607
hong_jean,motion_data (hj).csv,normal_work,16.458,normal,normal_work,1.69704,525.51882,10.48077,290.22924,9.43134,56.91462,0.19265,141.70905,0.09122,90.90458
hong_jean,motion_data (hj).csv,normal_work,17.458,normal,normal_work,1.69704,283.83758,10.48077,271.15723,24.93312,70.06983,0.1694,116.91489,0.11928,85.29408
hong_jean,motion_data (hj).csv,normal_work,18.458,normal,normal_work,1.54602,265.84201,14.70862,263.74067,27.82222,77.89665,0.13447,104.66621,0.14812,80.97843
hong_jean,motion_data (hj).csv,normal_work,19.458,normal,normal_work,1.54602,290.08839,15.61285,255.79662,49.87197,79.12606,0.0935,87.47552,0.16531,86.61127
hong_jean,motion_data (hj).csv,normal_work,20.458,normal,normal_work,1.52967,290.08839,15.61285,244.54062,63.68503,77.32525,0.10173,84.64822,0.17054,80.05358
hong_jean,motion_data (hj).csv,normal_work,21.458,normal,normal_work,1.37005,237.96103,12.09619,221.2908,68.53012,70.53403,0.15032,79.52038,0.15458,74.50863
hong_jean,motion_data (hj).csv,normal_work,22.458,normal,normal_work,1.41447,185.66025,12.43367,176.35315,58.76609,56.58389,0.16963,93.43756,0.11463,67.86145
hong_jean,motion_data (hj).csv,normal_work,23.458,normal,normal_work,1.41447,152.12414,12.43367,155.14355,54.70287,49.297,0.17306,83.84966,0.11233,76.67083
hong_jean,motion_data (hj).csv,normal_work,24.458,normal,normal_work,1.31175,152.12414,8.04787,163.76328,29.05649,23.41307,0.1586,75.35895,0.11632,89.20001
hong_jean,motion_data (hj).csv,normal_work,25.458,normal,normal_work,1.52236,234.03704,14.88313,183.41828,16.97871,10.90552,0.11404,64.44681,0.1114,95.5178
hong_jean,motion_data (hj).csv,normal_work,26.458,normal,normal_work,1.52236,234.03704,14.88313,154.89183,2.94641,4.954,0.11067,78.10723,0.16115,86.1803
hong_jean,motion_data (hj).csv,normal_work,27.458,normal,normal_work,1.29102,146.03156,8.84641,119.11491,7.50138,3.82145,0.12419,82.59202,0.29447,88.25736
hong_jean,motion_data (hj).csv,normal_work,28.458,normal,normal_work,1.29102,146.03156,7.44664,135.66545,8.92058,4.97105,0.1082,91.52314,0.31259,79.79296
hong_jean,motion_data (hj).csv,normal_work,29.458,normal,normal_work,1.25567,131.62099,9.23802,150.45505,6.91024,7.69646,0.10041,89.43296,0.3526,77.64265
hong_jean,motion_data (hj).csv,normal_work,30.458,normal,normal_work,1.21416,150.97808,9.23802,173.97346,5.52356,1.7423,0.25939,88.54286,0.45959,104.42526
hong_jean,motion_data (hj).csv,normal_work,31.458,normal,normal_work,1.21416,151.76499,8.82462,184.9363,5.2202,43.27611,0.32504,80.97179,0.42642,111.75624
hong_jean,motion_data (hj).csv,normal_work,32.458,normal,normal_work,1.16929,172.33249,8.82462,195.32614,8.60192,60.46034,0.3395,81.0762,0.41995,110.12203
hong_jean,motion_data (hj).csv,normal_work,33.458,normal,normal_work,1.52594,172.33249,25.07545,168.61938,8.5,67.80969,0.39447,98.78204,0.31619,90.75195
hong_jean,motion_data (hj).csv,normal_work,34.458,normal,normal_work,2.27145,211.08118,42.49756,141.43707,25.68586,67.73521,0.45801,117.79594,0.13159,75.24713
hong_jean,motion_data (hj).csv,normal_work,35.458,normal,normal_work,2.27145,211.08118,42.49756,156.62747,55.60718,68.10276,0.4496,107.52387,0.14442,78.81674
hong_jean,motion_data (hj).csv,normal_work,36.458,normal,normal_work,2.4572,436.34364,37.50957,208.4605,69.93706,75.04626,0.33863,101.3846,0.11992,69.70943
hong_jean,motion_data (hj).csv,normal_work,37.458,normal,normal_work,2.4572,472.00166,48.32207,251.6799,73.73485,75.51107,0.13851,73.72036,0.10477,76.56639
hong_jean,motion_data (hj).csv,normal_work,38.458,normal,normal_work,2.36362,472.00166,48.32207,204.29973,80.06047,79.15781,0.14872,82.23283,0.1259,92.01589
hong_jean,motion_data (hj).csv,normal_work,39.458,normal,normal_work,1.37332,203.57047,8.05416,179.72868,45.41566,45.01604,0.12307,67.59454,0.11175,81.25452
hong_jean,motion_data (hj).csv,normal_work,40.458,normal,normal_work,1.32418,203.57047,8.05416,143.88512,13.42999,24.13424,0.11178,76.71338,0.10028,61.02813
hong_jean,motion_data (hj).csv,normal_work,41.458,normal,normal_work,1.32418,110.87226,5.75249,127.11559,7.81443,20.6196,0.12893,80.74701,0.09167,57.80433
hong_jean,motion_data (hj).csv,normal_work,42.458,normal,normal_work,1.30173,137.42403,10.49137,152.02971,3.72909,5.48697,0.12036,91.19232,0.09058,48.26298
hong_jean,motion_data (hj).csv,normal_work,43.458,normal,normal_work,1.30173,173.34025,10.49137,148.83232,13.54103,28.59135,0.10776,70.37557,0.13831,65.83376
hong_jean,motion_data (hj).csv,normal_work,44.458,normal,normal_work,1.34465,238.71526,9.82625,172.92943,9.45273,11.71559,0.09371,47.7263,0.15596,85.54356
hong_jean,motion_data (hj).csv,normal_work,45.458,normal,normal_work,1.34465,238.71526,9.82625,208.89493,12.48881,8.47751,0.09157,46.13814,0.15629,71.97224
hong_jean,motion_data (hj).csv,normal_work,46.458,normal,normal_work,1.23614,231.49654,9.76904,128.63807,3.43975,42.36381,0.10867,64.94933,0.14596,58.12957
hong_jean,motion_data (hj).csv,normal_work,47.458,normal,normal_work,1.09032,30.1193,2.54953,28.85472,12.55325,39.52493,0.14471,81.85752,0.08876,41.37434
hong_jean,motion_data (hj).csv,normal_work,48.458,normal,normal_work,1.36603,197.35576,8.69227,105.50554,19.33299,29.81644,0.16669,80.72253,0.08173,30.18781
hong_jean,motion_data (hj).csv,normal_work,49.458,normal,normal_work,1.36603,197.35576,8.69227,165.45617,20.61622,30.70099,0.15776,64.75507,0.09217,46.0362
hong_jean,motion_data (hj).csv,normal_work,50.458,normal,normal_work,1.59588,140.76273,16.39505,133.01333,37.24471,11.15161,0.09595,47.01568,0.1003,56.42158
hong_jean,motion_data (hj).csv,normal_work,51.458,normal,normal_work,1.59588,202.98232,16.39505,168.35544,45.83202,10.32152,0.03899,21.97277,0.13736,82.13325
hong_jean,motion_data (hj).csv,normal_work,52.458,normal,normal_work,1.31041,202.98232,12.50699,140.53303,49.97599,3.48495,0.097,42.79237,0.13933,79.62544
hong_jean,motion_data (hj).csv,normal_work,53.458,normal,normal_work,1.17924,80.95755,2.83724,61.99612,27.71223,5.06594,0.10546,57.77944,0.17009,88.60137
hong_jean,motion_data (hj).csv,normal_work,54.458,normal,normal_work,1.02256,47.75993,1.23635,41.75869,33.19668,37.56076,0.11172,73.23146,0.17723,106.04887
hong_jean,motion_data (hj).csv,normal_work,55.458,normal,normal_work,1.34376,104.11073,7.5794,75.42871,60.53433,54.4222,0.11906,76.72797,0.15182,112.99423
hong_jean,motion_data (hj).csv,normal_work,56.458,normal,normal_work,1.34376,187.8183,7.5794,140.3838,57.01468,53.54059,0.16783,88.23014,0.11161,103.28411
hong_jean,motion_data (hj).csv,normal_work,57.458,normal,normal_work,1.13845,187.8183,5.02429,140.36493,51.7845,49.8738,0.19075,101.74132,0.0824,95.53865
hong_jean,motion_data (hj).csv,normal_work,58.458,normal,normal_work,1.19083,151.84733,6.06137,160.83678,27.47239,25.68389,0.15834,111.9776,0.09,78.5313
hong_jean,motion_data (hj).csv,normal_work,59.458,normal,normal_work,1.46117,182.56565,10.53049,192.15319,6.78608,7.64884,0.11872,107.4327,0.09877,70.22063
hong_jean,motion_data (hj).csv,normal_work,60.458,normal,normal_work,1.46117,182.56565,11.55084,183.6289,5.85892,10.03319,0.08302,99.2759,0.11075,66.5483
hong_jean,motion_data (hj).csv,normal_work,61.458,normal,normal_work,1.41707,245.39341,11.55084,212.60158,6.64542,23.02515,0.08834,84.98035,0.1009,50.72042
hong_jean,motion_data (hj).csv,normal_work,62.458,normal,normal_work,1.30277,245.39341,7.96053,243.26629,5.91137,43.03963,0.09593,71.76773,0.08725,36.73637
hong_jean,motion_data (hj).csv,normal_work,63.458,normal,normal_work,1.30277,233.841,7.96053,187.43686,9.93376,47.48345,0.11721,67.09703,0.04626,23.03587
hong_jean,motion_data (hj).csv,normal_work,64.458,normal,normal_work,1.21295,144.4256,8.54103,128.92792,14.90268,40.90598,0.10713,56.34224,0.02268,10.25777
hong_jean,motion_data (hj).csv,normal_work,65.458,normal,normal_work,1.29136,187.51781,8.54103,130.75983,41.05071,37.58186,0.09441,42.06619,0.04919,15.28379
hong_jean,motion_data (hj).csv,normal_work,66.458,normal,normal_work,1.29136,187.51781,5.65009,130.5692,43.45624,36.11003,0.04956,25.03507,0.06228,24.06553
hong_jean,motion_data (hj).csv,normal_work,67.458,normal,normal_work,1.19256,147.28689,6.07141,130.62566,39.92706,26.58821,0.0245,10.24787,0.07317,33.93156
hong_jean,motion_data (hj).csv,normal_work,68.458,normal,normal_work,1.15266,79.20887,6.07141,82.83654,35.32855,18.48005,0.01183,10.32025,0.17014,63.27282
hong_jean,motion_data (hj).csv,normal_work,69.458,normal,normal_work,1.1295,40.72392,4.32495,23.14267,28.77426,9.33856,0.06277,22.17318,0.19959,81.50264
hong_jean,motion_data (hj).csv,normal_work,70.458,normal,normal_work,1.01757,16.65304,0.83658,17.73039,8.1927,26.70363,0.07133,29.4954,0.31067,104.69145
hong_jean,motion_data (hj).csv,normal_work,71.458,normal,normal_work,1.01757,25.38873,0.84004,21.98133,28.47047,20.30057,0.10827,56.16436,0.32857,113.90116
hong_jean,motion_data (hj).csv,normal_work,72.458,normal,normal_work,1.21561,130.13451,2.82119,46.13713,33.88732,27.79475,0.2021,78.16344,0.32167,107.00721
hong_jean,motion_data (hj).csv,normal_work,73.458,normal,normal_work,1.21561,130.13451,3.81718,69.24689,23.66124,21.76052,0.27523,101.77299,0.27993,102.98147
hong_jean,motion_data (hj).csv,normal_work,74.458,normal,normal_work,1.11839,108.83031,5.61663,86.068,20.29349,29.54947,0.34277,114.86136,0.2047,83.34782
hong_jean,motion_data (hj).csv,normal_work,75.458,normal,normal_work,1.49089,203.81072,8.3873,175.48014,18.64234,42.85686,0.33914,111.75247,0.18925,94.04439
hong_jean,motion_data (hj).csv,normal_work,76.458,normal,normal_work,1.49089,203.81072,8.3873,228.73354,6.95071,7.04682,0.29391,105.70176,0.27194,97.20054
hong_jean,motion_data (hj).csv,normal_work,77.458,normal,normal_work,1.67324,162.1522,20.13681,221.50711,9.05077,3.57384,0.22168,91.61925,0.28844,103.56446
hong_jean,motion_data (hj).csv,normal_work,78.458,normal,normal_work,1.67324,162.1522,20.13681,234.32142,17.32549,4.41709,0.15108,76.34378,0.30667,113.26757
hong_jean,motion_data (hj).csv,normal_work,79.458,normal,normal_work,1.40641,157.61821,13.99178,198.2675,25.92478,1.36614,0.27627,98.1028,0.22488,97.71949
hong_jean,motion_data (hj).csv,normal_work,80.458,normal,normal_work,1.34976,125.22651,6.62962,166.33676,40.68958,18.38765,0.30289,102.76484,0.20237,89.7046
hong_jean,motion_data (hj).csv,normal_work,81.458,normal,normal_work,1.34976,108.41862,7.1343,130.63042,2.34644,5.50719,0.31948,115.74257,0.20694,92.35091
hong_jean,motion_data (hj).csv,normal_work,82.458,normal,normal_work,1.72604,402.76582,24.38824,201.28601,7.53747,3.64378,0.22665,96.28867,0.21577,88.8035
hong_jean,motion_data (hj).csv,normal_work,83.458,normal,normal_work,1.72604,402.76582,24.38824,254.91937,9.5711,3.65814,0.20583,93.9614,0.20794,87.27628
hong_jean,motion_data (hj).csv,normal_work,84.458,normal,normal_work,1.41891,147.02007,16.25618,195.88847,23.66,21.06537,0.20653,94.00964,0.20542,81.76129
hong_jean,motion_data (hj).csv,normal_work,85.458,normal,normal_work,1.31909,144.40575,12.85856,189.2103,18.00093,1.17561,0.21703,92.61861,0.20201,87.42635
hong_jean,motion_data (hj).csv,normal_work,86.458,normal,normal_work,1.46855,163.89659,10.02846,177.33488,4.04363,18.48478,0.20446,87.54457,0.17708,94.08591
hong_jean,motion_data (hj).csv,normal_work,87.458,normal,normal_work,1.46855,163.89659,10.02846,164.41657,6.46623,24.09104,0.21848,82.82041,0.15534,94.03833
hong_jean,motion_data (hj).csv,normal_work,88.458,normal,normal_work,1.30194,152.93251,11.90902,184.67918,16.58652,29.40047,0.18289,77.73205,0.18186,108.66523
hong_jean,motion_data (hj).csv,normal_work,89.458,normal,normal_work,1.31827,152.93251,13.53495,179.91799,16.43559,18.92894,0.19119,94.51591,0.16348,99.87802
hong_jean,motion_data (hj).csv,normal_work,90.458,normal,normal_work,1.39398,153.15736,13.53495,168.22577,31.00978,21.85373,0.15107,96.56006,0.16678,105.19604
hong_jean,motion_data (hj).csv,normal_work,91.458,normal,normal_work,1.39398,153.15736,8.65893,155.71315,23.97449,13.97599,0.1719,101.35217,0.1529,109.53417
hong_jean,motion_data (hj).csv,normal_work,92.458,normal,normal_work,1.50699,180.63507,13.22247,180.48982,22.47258,10.11917,0.15354,94.80316,0.15136,105.14492
