feature,target_label,threshold,tp,fn,fp,tn,window_sensitivity,window_false_positive_rate,window_specificity,window_precision,event_detection_rate,target_event_count,normal_recording_false_alarm_rate,normal_recording_count
gyro_max_dps,near_miss,0.37792,24,0,953,0,1.0,1.0,0.0,0.02456,1.0,4,1.0,4
gyro_max_dps,near_miss,0.37797,24,0,952,1,1.0,0.99895,0.00105,0.02459,1.0,4,1.0,4
gyro_max_dps,near_miss,0.37802,24,0,952,1,1.0,0.99895,0.00105,0.02459,1.0,4,1.0,4
gyro_max_dps,near_miss,0.38957,24,0,951,2,1.0,0.9979,0.0021,0.02462,1.0,4,1.0,4
gyro_max_dps,near_miss,0.40112,24,0,951,2,1.0,0.9979,0.0021,0.02462,1.0,4,1.0,4
gyro_max_dps,near_miss,0.40451,24,0,949,4,1.0,0.9958,0.0042,0.02467,1.0,4,1.0,4
gyro_max_dps,near_miss,0.40791,24,0,949,4,1.0,0.9958,0.0042,0.02467,1.0,4,1.0,4
gyro_max_dps,near_miss,0.40895,24,0,948,5,1.0,0.99475,0.00525,0.02469,1.0,4,1.0,4
gyro_max_dps,near_miss,0.41,24,0,948,5,1.0,0.99475,0.00525,0.02469,1.0,4,1.0,4
gyro_max_dps,near_miss,0.41678,24,0,947,6,1.0,0.9937,0.0063,0.02472,1.0,4,1.0,4
gyro_max_dps,near_miss,0.42355,24,0,947,6,1.0,0.9937,0.0063,0.02472,1.0,4,1.0,4
gyro_max_dps,near_miss,0.43688,24,0,945,8,1.0,0.99161,0.00839,0.02477,1.0,4,1.0,4
gyro_max_dps,near_miss,0.45021,24,0,945,8,1.0,0.99161,0.00839,0.02477,1.0,4,1.0,4
gyro_max_dps,near_miss,0.45237,24,0,943,10,1.0,0.98951,0.01049,0.02482,1.0,4,1.0,4
gyro_max_dps,near_miss,0.45453,24,0,943,10,1.0,0.98951,0.01049,0.02482,1.0,4,1.0,4
gyro_max_dps,near_miss,0.45552,24,0,940,13,1.0,0.98636,0.01364,0.0249,1.0,4,1.0,4
gyro_max_dps,near_miss,0.45651,24,0,940,13,1.0,0.98636,0.01364,0.0249,1.0,4,1.0,4
gyro_max_dps,near_miss,0.47613,24,0,938,15,1.0,0.98426,0.01574,0.02495,1.0,4,1.0,4
gyro_max_dps,near_miss,0.49575,24,0,938,15,1.0,0.98426,0.01574,0.02495,1.0,4,1.0,4
gyro_max_dps,near_miss,0.55065,24,0,936,17,1.0,0.98216,0.01784,0.025,1.0,4,1.0,4
gyro_max_dps,near_miss,0.60555,24,0,936,17,1.0,0.98216,0.01784,0.025,1.0,4,1.0,4
gyro_max_dps,near_miss,0.63384,24,0,934,19,1.0,0.98006,0.01994,0.02505,1.0,4,1.0,4
gyro_max_dps,near_miss,0.66212,24,0,934,19,1.0,0.98006,0.01994,0.02505,1.0,4,1.0,4
gyro_max_dps,near_miss,0.84758,24,0,932,21,1.0,0.97796,0.02204,0.0251,1.0,4,1.0,4
gyro_max_dps,near_miss,1.03303,24,0,932,21,1.0,0.97796,0.02204,0.0251,1.0,4,1.0,4
gyro_max_dps,near_miss,1.28054,24,0,931,22,1.0,0.97692,0.02308,0.02513,1.0,4,1.0,4
gyro_max_dps,near_miss,1.52805,24,0,931,22,1.0,0.97692,0.02308,0.02513,1.0,4,1.0,4
gyro_max_dps,near_miss,1.53968,24,0,930,23,1.0,0.97587,0.02413,0.02516,1.0,4,1.0,4
gyro_max_dps,near_miss,1.55132,24,0,930,23,1.0,0.97587,0.02413,0.02516,1.0,4,1.0,4
gyro_max_dps,near_miss,1.55288,24,0,929,24,1.0,0.97482,0.02518,0.02518,1.0,4,1.0,4
gyro_max_dps,near_miss,1.55444,24,0,929,24,1.0,0.97482,0.02518,0.02518,1.0,4,1.0,4
gyro_max_dps,near_miss,1.6273,24,0,928,25,1.0,0.97377,0.02623,0.02521,1.0,4,1.0,4
gyro_max_dps,near_miss,1.70017,24,0,928,25,1.0,0.97377,0.02623,0.02521,1.0,4,1.0,4
gyro_max_dps,near_miss,1.75746,24,0,927,26,1.0,0.97272,0.02728,0.02524,1.0,4,1.0,4
gyro_max_dps,near_miss,1.81474,24,0,927,26,1.0,0.97272,0.02728,0.02524,1.0,4,1.0,4
gyro_max_dps,near_miss,1.97148,24,0,926,27,1.0,0.97167,0.02833,0.02526,1.0,4,1.0,4
