primary_label,worker,window_count
excluded_background,hong_jean,440
excluded_background,kwanteng,213
excluded_background,pierre,440
excluded_background,ziqian,440
fall,hong_jean,6
fall,kwanteng,6
fall,pierre,6
fall,ziqian,6
near_miss,hong_jean,6
near_miss,kwanteng,6
near_miss,pierre,6
near_miss,ziqian,6
normal,hong_jean,238
normal,kwanteng,237
normal,pierre,239
normal,ziqian,239
post_fall_inactive,hong_jean,13
post_fall_recovery,kwanteng,13
post_fall_recovery,pierre,13
post_fall_recovery,ziqian,13
post_near_miss,hong_jean,13
post_near_miss,kwanteng,13
post_near_miss,pierre,13
post_near_miss,ziqian,13
