worker,source_file,recording_type,window_number,window_start_seconds,window_end_seconds,window_center_seconds,samples_in_window,primary_label,event_subtype,accel_mean_g,accel_std_g,accel_min_g,accel_max_g,accel_range_g,gyro_mean_dps,gyro_std_dps,gyro_max_dps,jerk_mean_g_per_second,jerk_std_g_per_second,jerk_max_g_per_second,sma_g,gyro_sma_dps,orientation_change_deg,axis_accel_std_total_g
hong_jean,(die2) HJ motion_data.csv,fall_like,1,0.042,1.042,0.542,25,excluded_background,fall_inactive,1.04133,0.12133,0.79009,1.21345,0.42337,34.76623,24.97294,100.38274,1.3748,1.00948,4.1851,1.39676,52.13483,8.94212,0.20515
hong_jean,(die2) HJ motion_data.csv,fall_like,2,0.542,1.542,1.042,25,excluded_background,fall_inactive,1.05312,0.13424,0.79105,1.21411,0.42306,33.28591,21.69408,100.38274,1.56997,1.43839,5.94366,1.38379,48.71905,18.13246,0.19313
hong_jean,(die2) HJ motion_data.csv,fall_like,3,1.042,2.042,1.542,25,excluded_background,fall_inactive,1.0152,0.1284,0.79105,1.21411,0.42306,28.00199,14.4958,52.2013,1.11579,1.39407,5.94366,1.36177,39.66453,17.09223,0.1897
hong_jean,(die2) HJ motion_data.csv,fall_like,4,1.542,2.542,2.042,25,excluded_background,fall_inactive,1.01019,0.06604,0.93243,1.1818,0.24937,18.12981,14.86512,52.2013,0.47406,0.62541,2.2612,1.43461,26.63255,5.92126,0.10295
hong_jean,(die2) HJ motion_data.csv,fall_like,5,2.042,3.042,2.542,25,excluded_background,fall_inactive,1.00774,0.02158,0.95299,1.03774,0.08475,6.43919,5.64899,16.60563,0.16533,0.35267,1.82729,1.43179,10.0195,1.42741,0.02947
hong_jean,(die2) HJ motion_data.csv,fall_like,6,2.542,3.542,3.042,25,excluded_background,fall_inactive,1.00792,0.00819,0.99509,1.02982,0.03473,4.67649,4.29796,20.24652,0.09659,0.14,0.5912,1.42921,6.61967,1.41708,0.01724
hong_jean,(die2) HJ motion_data.csv,fall_like,7,3.042,4.042,3.542,25,excluded_background,fall_inactive,0.99887,0.07626,0.75942,1.14006,0.38064,28.10254,29.25082,99.99394,0.65196,0.91583,4.01362,1.35328,37.10765,13.50944,0.1281
hong_jean,(die2) HJ motion_data.csv,fall_like,8,3.542,4.542,4.042,25,excluded_background,fall_inactive,0.99858,0.10324,0.72765,1.14006,0.41241,77.63729,39.37302,158.12475,1.21139,1.35601,6.45079,1.29412,109.50929,1.4633,0.19837
hong_jean,(die2) HJ motion_data.csv,fall_like,9,4.042,5.042,4.542,25,excluded_background,fall_inactive,1.01784,0.07589,0.72765,1.10482,0.37717,104.55314,34.98132,188.97355,1.09422,1.19367,6.45079,1.35425,155.40293,8.693,0.2428
hong_jean,(die2) HJ motion_data.csv,fall_like,10,4.542,5.542,5.042,25,excluded_background,fall_inactive,1.03021,0.03562,0.97057,1.09891,0.12834,66.04889,48.47075,188.97355,0.70676,0.47981,2.00757,1.37252,98.71895,8.79065,0.16173
