worker,source_file,recording_type,window_number,window_start_seconds,window_end_seconds,window_center_seconds,samples_in_window,primary_label,event_subtype,accel_mean_g,accel_std_g,accel_min_g,accel_max_g,accel_range_g,gyro_mean_dps,gyro_std_dps,gyro_max_dps,jerk_mean_g_per_second,jerk_std_g_per_second,jerk_max_g_per_second,sma_g,gyro_sma_dps,orientation_change_deg,axis_accel_std_total_g
hong_jean,(die2) HJ motion_data.csv,fall_like,166,82.542,83.542,83.042,25,fall,fall_inactive,1.01973,0.48314,0.10347,1.79227,1.6888,108.32637,105.27924,327.64527,4.99772,6.37196,27.74139,1.48966,165.31609,16.45468,0.6558
hong_jean,(die2) HJ motion_data.csv,fall_like,167,83.042,84.042,83.542,25,fall,fall_inactive,2.29411,1.7814,0.93892,6.32845,5.38952,175.45845,250.74877,844.73426,8.35089,12.01945,43.35478,3.3624,281.25825,97.24977,2.49799
hong_jean,(die2) HJ motion_data.csv,fall_like,168,83.542,84.542,84.042,25,fall,fall_inactive,4.3549,1.55528,0.93892,6.32845,5.38952,490.33253,325.06496,1055.21571,12.92622,11.84557,43.35478,6.72725,780.41079,96.00526,3.57858
hong_jean,(die2) HJ motion_data.csv,fall_like,169,84.042,85.042,84.542,25,fall,fall_inactive,3.54005,1.91222,0.79156,5.94221,5.15065,574.01666,347.17028,1110.79972,12.36891,15.28779,74.45691,5.44958,846.91147,121.68483,3.49098
hong_jean,(die2) HJ motion_data.csv,fall_like,170,84.542,85.542,85.042,25,fall,fall_inactive,1.42856,1.03297,0.79156,5.06295,4.27139,404.93257,324.89454,1110.79972,7.58394,15.28049,74.45691,2.04882,526.21719,110.71448,1.59894
hong_jean,(die2) HJ motion_data.csv,fall_like,171,85.042,86.042,85.542,25,fall,fall_inactive,1.00352,0.03854,0.93796,1.13535,0.1974,163.92116,215.06432,670.16963,0.71881,0.82933,2.99557,1.58026,204.33629,63.05763,0.44743
hong_jean,(near miss) HJ motion_data.csv,near_miss,104,51.587,52.587,52.087,25,near_miss,near_miss,0.77573,0.45188,0.26043,2.38696,2.12653,168.47136,148.14183,790.02334,5.6113,9.39344,46.12293,1.05812,245.59816,165.52333,0.70335
hong_jean,(near miss) HJ motion_data.csv,near_miss,105,52.087,53.087,52.587,25,near_miss,near_miss,1.31516,1.2919,0.19962,3.87985,3.68023,218.77086,107.72992,399.01943,5.76518,11.65817,60.27578,1.95403,291.6886,108.51677,1.61005
hong_jean,(near miss) HJ motion_data.csv,near_miss,106,52.587,53.587,53.087,25,near_miss,near_miss,1.71038,1.41104,0.19962,4.24256,4.04294,172.34521,127.68575,399.01943,9.51466,20.99466,95.91929,2.56552,221.04452,117.15677,1.57563
hong_jean,(near miss) HJ motion_data.csv,near_miss,107,53.087,54.087,53.587,25,near_miss,near_miss,1.26606,0.88103,0.40578,4.24256,3.83677,87.09539,58.57084,271.0184,7.01701,18.381,95.91929,1.88071,117.53705,18.51561,0.96405
hong_jean,(near miss) HJ motion_data.csv,near_miss,108,53.587,54.587,54.087,25,near_miss,near_miss,1.12522,0.42898,0.65083,2.18572,1.53488,96.57455,37.26746,170.526,4.49777,8.55163,34.14683,1.67977,139.29503,15.38582,0.52828
hong_jean,(near miss) HJ motion_data.csv,near_miss,109,54.087,55.087,54.587,25,near_miss,near_miss,1.06222,0.43808,0.65083,2.18572,1.53488,92.52836,46.38183,170.526,3.98941,8.6726,34.14683,1.58557,130.31175,27.97763,0.53224
hong_jean,motion_data (hj).csv,normal_work,1,0.458,1.458,0.958,26,normal,normal_work,1.01576,0.13593,0.59975,1.40355,0.8038,78.54052,55.33158,230.89035,1.34314,4.04895,20.09494,1.27648,119.0729,36.19942,0.33482
hong_jean,motion_data (hj).csv,normal_work,2,0.958,1.958,1.458,25,normal,normal_work,0.99205,0.01392,0.96794,1.01976,0.05182,27.89589,17.8584,58.87335,0.25383,0.20766,0.74065,1.15286,38.99246,13.9342,0.1061
hong_jean,motion_data (hj).csv,normal_work,3,1.458,2.458,1.958,25,normal,normal_work,1.01057,0.04507,0.96794,1.12518,0.15724,18.81262,10.23654,37.13149,0.41176,0.47554,2.20981,1.28949,26.12912,11.69836,0.10046
hong_jean,motion_data (hj).csv,normal_work,4,1.958,2.958,2.458,25,normal,normal_work,0.98054,0.07103,0.85885,1.12518,0.26633,28.04085,11.73671,56.51098,0.55737,0.54986,2.20981,1.21591,43.16643,12.6426,0.14542
hong_jean,motion_data (hj).csv,normal_work,5,2.458,3.458,2.958,25,normal,normal_work,1.04429,0.14482,0.85885,1.27525,0.4164,52.23893,21.43232,86.70065,0.71051,0.85572,4.53066,1.35865,76.76676,32.88227,0.31963
hong_jean,motion_data (hj).csv,normal_work,6,2.958,3.958,3.458,25,normal,normal_work,1.14087,0.21697,0.60324,1.38916,0.78592,99.02773,48.24444,259.52167,2.58669,4.03067,16.80006,1.61667,136.40669,12.96205,0.39473
hong_jean,motion_data (hj).csv,normal_work,7,3.458,4.458,3.958,25,normal,normal_work,1.09565,0.31202,0.60324,1.7021,1.09885,164.8493,53.29762,277.57922,4.25598,4.86296,16.80006,1.65597,234.27774,67.03216,0.67344
hong_jean,motion_data (hj).csv,normal_work,8,3.958,4.958,4.458,25,normal,normal_work,1.00612,0.27274,0.65238,1.7021,1.04972,247.42286,101.51158,514.77547,3.39215,4.30375,15.42499,1.55452,359.16838,55.07378,0.61672
hong_jean,motion_data (hj).csv,normal_work,9,4.458,5.458,4.958,25,normal,normal_work,1.06076,0.30434,0.51451,1.54583,1.03132,286.45994,92.47883,514.77547,2.91627,3.94666,15.27336,1.57927,404.3155,120.57012,0.89564
hong_jean,motion_data (hj).csv,normal_work,10,4.958,5.958,5.458,25,normal,normal_work,1.15818,0.3013,0.51451,1.58549,1.07098,220.31562,88.48587,365.19343,3.92166,5.20909,23.83961,1.68056,309.91075,94.98438,0.93453
hong_jean,motion_data (hj).csv,normal_work,11,5.458,6.458,5.958,25,normal,normal_work,1.08463,0.17083,0.63191,1.58549,0.95358,108.48298,83.20196,313.71201,2.68495,4.71462,23.83961,1.50728,159.76221,56.40037,0.48333
hong_jean,motion_data (hj).csv,normal_work,12,5.958,6.958,6.458,25,normal,normal_work,0.98066,0.06099,0.91202,1.16728,0.25526,37.14476,24.95896,109.03217,0.49129,0.79363,3.53992,1.34523,56.8676,4.06193,0.13111
