packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload,worker,work_state,source_file
1,2026-07-27T13:49:42.970,0.087131,,0.74,0.27,0.5,89.66,47.55,42.79,0.9330058949438637,110.1403749766633,"0.74,0.27,0.50,89.66,47.55,42.79",ziqian,fall_like,ziqian_die_data.csv
2,2026-07-27T13:49:43.015,0.132129,44.9983,0.74,0.33,0.5,89.66,47.55,42.79,0.9521029356114811,110.1403749766633,"0.74,0.33,0.50,89.66,47.55,42.79",ziqian,fall_like,ziqian_die_data.csv
3,2026-07-27T13:49:43.043,0.160032,27.9029,0.76,0.21,0.6,74.65,40.89,24.35,0.9908077512817509,88.52986558218645,"0.76,0.21,0.60,74.65,40.89,24.35",ziqian,fall_like,ziqian_die_data.csv
4,2026-07-27T13:49:43.088,0.20495,44.9182,0.75,0.07,0.73,62.56,32.1,30.52,1.048951857808546,76.65268423219112,"0.75,0.07,0.73,62.56,32.10,30.52",ziqian,fall_like,ziqian_die_data.csv
5,2026-07-27T13:49:43.135,0.251706,46.7554,0.71,0.02,0.77,62.32,25.02,38.88,1.0475686135046238,77.59792007521851,"0.71,0.02,0.77,62.32,25.02,38.88",ziqian,fall_like,ziqian_die_data.csv
6,2026-07-27T13:49:43.164,0.280923,29.2175,0.69,0.04,0.76,58.9,18.74,38.88,1.027277956543408,73.0209011174198,"0.69,0.04,0.76,58.90,18.74,38.88",ziqian,fall_like,ziqian_die_data.csv
7,2026-07-27T13:49:43.209,0.326065,45.142,0.68,0.08,0.74,45.41,12.27,31.01,1.0081666528902848,56.34040379692002,"0.68,0.08,0.74,45.41,12.27,31.01",ziqian,fall_like,ziqian_die_data.csv
8,2026-07-27T13:49:43.254,0.371151,45.0858,0.66,0.09,0.75,27.83,6.23,18.13,1.0030952098380292,33.79376717680348,"0.66,0.09,0.75,27.83,6.23,18.13",ziqian,fall_like,ziqian_die_data.csv
9,2026-07-27T13:49:43.283,0.399675,28.5235,0.66,0.07,0.78,14.59,2.56,6.16,1.0241581909060729,16.042671223957687,"0.66,0.07,0.78,14.59,2.56,6.16",ziqian,fall_like,ziqian_die_data.csv
10,2026-07-27T13:49:43.328,0.444537,44.8624,0.66,0.04,0.82,9.16,1.4,0.98,1.0533755265810953,9.318047005676672,"0.66,0.04,0.82,9.16,1.40,0.98",ziqian,fall_like,ziqian_die_data.csv
11,2026-07-27T13:49:43.373,0.489997,45.4601,0.65,0.06,0.82,6.59,1.53,2.81,1.0480935072788116,7.325646729129108,"0.65,0.06,0.82,6.59,1.53,2.81",ziqian,fall_like,ziqian_die_data.csv
12,2026-07-27T13:49:43.403,0.519785,29.7874,0.68,0.1,0.77,-0.12,2.87,5.62,1.0321337122679406,6.311552899247538,"0.68,0.10,0.77,-0.12,2.87,5.62",ziqian,fall_like,ziqian_die_data.csv
13,2026-07-27T13:49:43.449,0.565696,45.9111,0.72,0.16,0.69,-8.18,4.88,6.04,1.0099999999999998,11.278670134373112,"0.72,0.16,0.69,-8.18,4.88,6.04",ziqian,fall_like,ziqian_die_data.csv
14,2026-07-27T13:49:43.494,0.61042,44.724,0.74,0.19,0.64,-8.79,5.49,7.39,0.9966443698732261,12.728562369725813,"0.74,0.19,0.64,-8.79,5.49,7.39",ziqian,fall_like,ziqian_die_data.csv
15,2026-07-27T13:49:43.523,0.639274,28.8541,0.74,0.19,0.64,-0.06,1.89,10.07,0.9966443698732261,10.246004099159828,"0.74,0.19,0.64,-0.06,1.89,10.07",ziqian,fall_like,ziqian_die_data.csv
16,2026-07-27T13:49:43.569,0.685186,45.9126,0.7,0.13,0.71,10.44,-5.68,9.95,1.0054849576199536,15.5002741911232,"0.70,0.13,0.71,10.44,-5.68,9.95",ziqian,fall_like,ziqian_die_data.csv
