packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload,worker,work_state,source_file
1,2026-07-27T13:57:27.882,0.104622,,0.66,0.57,-0.97,-69.89,-191.1,-74.28,1.3043772460450236,216.6133433101479,"0.66,0.57,-0.97,-69.89,-191.10,-74.28",ziqian,near_miss,ziqian_near_miss_ die.csv
2,2026-07-27T13:57:27.943,0.165581,60.9585,0.66,0.56,-0.84,-52.86,-184.02,-70.01,1.2061509026651682,203.86009933285132,"0.66,0.56,-0.84,-52.86,-184.02,-70.01",ziqian,near_miss,ziqian_near_miss_ die.csv
3,2026-07-27T13:57:28.004,0.227328,61.7476,0.65,0.54,-0.72,-39.0,-161.8,-57.13,1.1101801655587258,175.96612429669526,"0.65,0.54,-0.72,-39.00,-161.80,-57.13",ziqian,near_miss,ziqian_near_miss_ die.csv
4,2026-07-27T13:57:28.005,0.227507,0.1786,0.64,0.52,-0.62,-25.15,-118.71,-40.65,1.0316976301223144,127.97268888321445,"0.64,0.52,-0.62,-25.15,-118.71,-40.65",ziqian,near_miss,ziqian_near_miss_ die.csv
5,2026-07-27T13:57:28.062,0.28463,57.1232,0.57,0.53,-0.55,-24.05,-63.66,-17.88,0.9530477427705288,70.36115760844189,"0.57,0.53,-0.55,-24.05,-63.66,-17.88",ziqian,near_miss,ziqian_near_miss_ die.csv
6,2026-07-27T13:57:28.091,0.313864,29.2336,0.5,0.57,-0.54,-37.05,-4.76,8.3,0.9308598175880191,38.265521033954315,"0.50,0.57,-0.54,-37.05,-4.76,8.30",ziqian,near_miss,ziqian_near_miss_ die.csv
7,2026-07-27T13:57:28.121,0.343609,29.7457,0.49,0.6,-0.56,-59.08,42.18,23.93,0.9558765610684258,76.43457136662703,"0.49,0.60,-0.56,-59.08,42.18,23.93",ziqian,near_miss,ziqian_near_miss_ die.csv
8,2026-07-27T13:57:28.183,0.405552,61.9426,0.48,0.65,-0.56,-103.58,51.03,32.9,0.9831073186585482,120.06368018680753,"0.48,0.65,-0.56,-103.58,51.03,32.90",ziqian,near_miss,ziqian_near_miss_ die.csv
9,2026-07-27T13:57:28.230,0.452835,47.283,0.45,0.75,-0.54,-139.53,36.99,47.3,1.0279105019407089,151.90184659838735,"0.45,0.75,-0.54,-139.53,36.99,47.30",ziqian,near_miss,ziqian_near_miss_ die.csv
10,2026-07-27T13:57:28.274,0.496762,43.9274,0.42,0.83,-0.55,-130.13,39.18,75.38,1.0806479537758815,155.40602851884478,"0.42,0.83,-0.55,-130.13,39.18,75.38",ziqian,near_miss,ziqian_near_miss_ die.csv
11,2026-07-27T13:57:28.334,0.557042,60.28,0.44,0.89,-0.54,-113.83,67.26,109.74,1.13017697729161,171.8256211977713,"0.44,0.89,-0.54,-113.83,67.26,109.74",ziqian,near_miss,ziqian_near_miss_ die.csv
12,2026-07-27T13:57:28.334,0.557199,0.1564,0.45,0.97,-0.46,-117.0,100.89,128.11,1.1640446726822815,200.69869008042878,"0.45,0.97,-0.46,-117.00,100.89,128.11",ziqian,near_miss,ziqian_near_miss_ die.csv
13,2026-07-27T13:57:28.361,0.583832,26.6336,0.44,1.05,-0.38,-104.13,106.2,134.22,1.2002083152519816,200.34097259422495,"0.44,1.05,-0.38,-104.13,106.20,134.22",ziqian,near_miss,ziqian_near_miss_ die.csv
14,2026-07-27T13:57:28.407,0.630364,46.532,0.42,1.07,-0.36,-65.92,77.33,135.68,1.2045331045679069,169.51235264723337,"0.42,1.07,-0.36,-65.92,77.33,135.68",ziqian,near_miss,ziqian_near_miss_ die.csv
15,2026-07-27T13:57:28.467,0.69008,59.7154,0.36,1.04,-0.33,-31.19,36.68,116.33,1.1489560478973946,125.90038681433826,"0.36,1.04,-0.33,-31.19,36.68,116.33",ziqian,near_miss,ziqian_near_miss_ die.csv
16,2026-07-27T13:57:28.647,0.86972,179.6399,0.31,1.0,-0.29,-10.86,3.17,76.48,1.086370102681402,77.31221701645866,"0.31,1.00,-0.29,-10.86,3.17,76.48",ziqian,near_miss,ziqian_near_miss_ die.csv
17,2026-07-27T13:57:28.647,0.869868,0.1487,0.29,0.96,-0.25,-4.76,-13.12,35.16,1.0335376142163382,37.828793266505336,"0.29,0.96,-0.25,-4.76,-13.12,35.16",ziqian,near_miss,ziqian_near_miss_ die.csv
18,2026-07-27T13:57:28.647,0.869947,0.0789,0.32,0.92,-0.22,-9.22,-16.36,3.48,0.9985990186255943,19.098910963717277,"0.32,0.92,-0.22,-9.22,-16.36,3.48",ziqian,near_miss,ziqian_near_miss_ die.csv
19,2026-07-27T13:57:28.647,0.870067,0.1196,0.37,0.89,-0.2,-13.49,-14.28,-17.03,0.9843779761859771,25.998449953795323,"0.37,0.89,-0.20,-13.49,-14.28,-17.03",ziqian,near_miss,ziqian_near_miss_ die.csv
20,2026-07-27T13:57:28.955,1.177637,307.5698,0.42,0.88,-0.17,-13.06,-13.12,-30.58,0.9897979591815695,35.74680964785529,"0.42,0.88,-0.17,-13.06,-13.12,-30.58",ziqian,near_miss,ziqian_near_miss_ die.csv
21,2026-07-27T13:57:28.955,1.177882,0.2453,0.45,0.9,-0.15,-15.81,-15.14,-41.44,1.0173494974687902,46.86629172443666,"0.45,0.90,-0.15,-15.81,-15.14,-41.44",ziqian,near_miss,ziqian_near_miss_ die.csv
22,2026-07-27T13:57:28.955,1.17798,0.0986,0.47,0.94,-0.16,-22.58,-18.43,-50.9,1.0630616162763096,58.654337435521334,"0.47,0.94,-0.16,-22.58,-18.43,-50.90",ziqian,near_miss,ziqian_near_miss_ die.csv
