packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-08-03T12:19:26.490,0.027785,,0.2700,0.3700,-1.8700,-250.3100,284.3600,-16.6600,1.925279,379.200819,"0.27,0.37,-1.87,-250.31,284.36,-16.66"
2,2026-08-03T12:19:26.517,0.055492,27.706600,0.7900,0.9700,-3.2600,-8.8500,163.4500,-118.4100,3.491790,202.027605,"0.79,0.97,-3.26,-8.85,163.45,-118.41"
3,2026-08-03T12:19:26.562,0.100502,45.009700,2.4300,0.4000,-1.2600,301.6400,-220.8900,-265.8700,2.766315,458.765669,"2.43,0.40,-1.26,301.64,-220.89,-265.87"
4,2026-08-03T12:19:26.608,0.145829,45.327500,3.9300,-1.5900,2.4200,345.5200,-538.5100,-272.9500,4.881537,695.613968,"3.93,-1.59,2.42,345.52,-538.51,-272.95"
5,2026-08-03T12:19:26.638,0.176211,30.382200,4.0000,-1.5700,4.0000,156.8000,-342.4700,17.9400,5.870681,377.085911,"4.00,-1.57,4.00,156.80,-342.47,17.94"
6,2026-08-03T12:19:26.699,0.237022,60.810400,2.6300,1.1000,1.5900,29.5400,326.1100,378.0500,3.264200,500.142126,"2.63,1.10,1.59,29.54,326.11,378.05"
7,2026-08-03T12:19:26.743,0.280996,43.973700,0.6700,1.9000,-2.5600,95.5800,770.2600,268.9800,3.257683,821.453738,"0.67,1.90,-2.56,95.58,770.26,268.98"
8,2026-08-03T12:19:26.758,0.296672,15.676500,1.3900,0.3000,-3.2800,232.9700,390.8100,-156.3100,3.574983,481.082418,"1.39,0.30,-3.28,232.97,390.81,-156.31"
9,2026-08-03T12:19:26.803,0.341628,44.956400,3.1900,-1.0300,-0.0600,276.7900,-383.4800,-314.2100,3.352700,567.800615,"3.19,-1.03,-0.06,276.79,-383.48,-314.21"
10,2026-08-03T12:19:26.848,0.385921,44.292900,3.1500,-1.0600,3.3800,224.8500,-737.9800,-154.9700,4.740306,786.884810,"3.15,-1.06,3.38,224.85,-737.98,-154.97"
