packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T13:19:57.261,0.086881,,0.0600,-0.0600,0.9900,0.4900,0.2400,-0.6700,0.993630,0.864060,"0.06,-0.06,0.99,0.49,0.24,-0.67"
2,2026-07-27T13:19:57.306,0.132174,45.293800,0.0600,-0.0600,1.0000,0.7300,-0.8500,-0.4900,1.003594,1.222906,"0.06,-0.06,1.00,0.73,-0.85,-0.49"
3,2026-07-27T13:19:57.308,0.134598,2.424100,0.0600,-0.0600,1.0100,0.0600,-2.2000,0.0000,1.013558,2.200818,"0.06,-0.06,1.01,0.06,-2.20,0.00"
4,2026-07-27T13:19:57.349,0.175622,41.023000,0.0600,-0.0600,1.0100,-0.9800,-2.4400,0.8500,1.013558,2.763422,"0.06,-0.06,1.01,-0.98,-2.44,0.85"
5,2026-07-27T13:19:57.394,0.220480,44.858100,0.0600,-0.0500,1.0100,-1.8300,-2.0100,1.7700,1.013015,3.243748,"0.06,-0.05,1.01,-1.83,-2.01,1.77"
6,2026-07-27T13:19:57.424,0.250552,30.072600,0.0600,-0.0600,1.0000,-2.2600,-1.5300,1.4000,1.003594,3.067328,"0.06,-0.06,1.00,-2.26,-1.53,1.40"
7,2026-07-27T13:19:57.514,0.340538,89.985700,0.0700,-0.0600,1.0000,-2.5000,-3.1100,-0.4900,1.004241,4.020224,"0.07,-0.06,1.00,-2.50,-3.11,-0.49"
8,2026-07-27T13:19:57.515,0.340961,0.422800,0.0800,-0.0700,1.0100,-3.5400,-7.5100,-2.9300,1.015579,8.804351,"0.08,-0.07,1.01,-3.54,-7.51,-2.93"
9,2026-07-27T13:19:57.545,0.371175,30.214000,0.0800,-0.0400,1.0300,-3.9100,-8.0000,-5.0000,1.033876,10.212155,"0.08,-0.04,1.03,-3.91,-8.00,-5.00"
10,2026-07-27T13:19:57.604,0.430229,59.054600,0.0600,0.0800,1.2700,3.4200,9.2800,-11.4100,1.273931,15.099765,"0.06,0.08,1.27,3.42,9.28,-11.41"
11,2026-07-27T13:19:57.634,0.460159,29.930000,0.0000,0.1900,1.7700,39.7300,78.2500,-40.9500,1.780169,96.842335,"0.00,0.19,1.77,39.73,78.25,-40.95"
12,2026-07-27T13:19:57.710,0.535869,75.710000,-0.0500,0.0900,1.8600,91.9800,199.5800,-83.1900,1.862847,234.974622,"-0.05,0.09,1.86,91.98,199.58,-83.19"
13,2026-07-27T13:19:57.710,0.536201,0.331900,-0.1000,-0.1000,1.3000,105.5300,290.9500,-91.2500,1.307670,322.668632,"-0.10,-0.10,1.30,105.53,290.95,-91.25"
14,2026-07-27T13:19:57.769,0.595427,59.226300,-0.1800,-0.2000,0.6400,70.8000,276.7900,-61.1000,0.694262,292.161863,"-0.18,-0.20,0.64,70.80,276.79,-61.10"
15,2026-07-27T13:19:57.784,0.610308,14.880400,-0.2900,-0.1400,0.2700,37.5400,190.9800,-20.0200,0.420238,195.661474,"-0.29,-0.14,0.27,37.54,190.98,-20.02"
16,2026-07-27T13:19:57.874,0.700383,90.075200,-0.4400,-0.0600,0.1400,27.5300,110.9600,24.6600,0.465618,116.953572,"-0.44,-0.06,0.14,27.53,110.96,24.66"
17,2026-07-27T13:19:57.874,0.700742,0.359000,-0.6000,0.0100,-0.1900,10.6200,52.9200,75.6200,0.629444,92.906917,"-0.60,0.01,-0.19,10.62,52.92,75.62"
18,2026-07-27T13:19:57.905,0.730899,30.157200,-0.4500,0.3200,-1.0700,-15.8100,-2.1400,92.6500,1.204076,94.013606,"-0.45,0.32,-1.07,-15.81,-2.14,92.65"
19,2026-07-27T13:19:57.979,0.805206,74.307200,0.2500,0.6500,-1.2300,-1.4600,-128.6600,39.6100,1.413471,134.627186,"0.25,0.65,-1.23,-1.46,-128.66,39.61"
20,2026-07-27T13:19:58.024,0.850299,45.092300,1.1800,0.3600,0.6600,-7.9300,-371.0300,-42.3000,1.399143,373.517651,"1.18,0.36,0.66,-7.93,-371.03,-42.30"
21,2026-07-27T13:19:58.024,0.850640,0.341000,1.6500,-0.4700,3.1900,-105.5900,-520.6300,-110.3500,3.622085,542.569781,"1.65,-0.47,3.19,-105.59,-520.63,-110.35"
22,2026-07-27T13:19:58.069,0.895472,44.832400,1.4100,-0.7500,4.0000,-121.5200,-285.5200,-84.1100,4.307041,321.501591,"1.41,-0.75,4.00,-121.52,-285.52,-84.11"
23,2026-07-27T13:19:58.129,0.955141,59.668600,0.8800,0.1700,2.4800,-31.6800,211.9800,46.3900,2.636987,219.297002,"0.88,0.17,2.48,-31.68,211.98,46.39"
24,2026-07-27T13:19:58.144,0.970354,15.213200,0.3500,1.1100,-0.4900,41.1400,584.2300,92.3500,1.262814,592.912907,"0.35,1.11,-0.49,41.14,584.23,92.35"
25,2026-07-27T13:19:58.189,1.015545,45.190800,0.0900,0.5500,-2.8200,134.6400,586.8500,-37.6000,2.874543,603.269933,"0.09,0.55,-2.82,134.64,586.85,-37.60"
26,2026-07-27T13:19:58.234,1.060118,44.573200,0.3700,-0.5700,-2.6600,247.8600,212.4000,-147.5200,2.745433,358.204537,"0.37,-0.57,-2.66,247.86,212.40,-147.52"
27,2026-07-27T13:19:58.324,1.150276,90.158300,1.1800,-0.9600,-0.7000,262.7000,-260.2500,-80.1400,1.674515,378.369888,"1.18,-0.96,-0.70,262.70,-260.25,-80.14"
28,2026-07-27T13:19:58.325,1.151101,0.825100,2.1500,-0.7200,1.7900,78.1900,-580.3200,97.2900,2.888771,593.591040,"2.15,-0.72,1.79,78.19,-580.32,97.29"
29,2026-07-27T13:19:58.504,1.329967,178.865500,2.3200,0.0100,3.7800,-175.4200,-627.9300,239.6200,4.435189,694.612126,"2.32,0.01,3.78,-175.42,-627.93,239.62"
30,2026-07-27T13:19:58.505,1.330747,0.780300,1.6500,0.8600,3.7300,-177.9800,-210.5100,232.9700,4.168333,360.924315,"1.65,0.86,3.73,-177.98,-210.51,232.97"
31,2026-07-27T13:19:58.505,1.330806,0.059000,1.1300,1.4400,1.2000,64.5100,469.2400,62.3200,2.188721,477.735806,"1.13,1.44,1.20,64.51,469.24,62.32"
32,2026-07-27T13:19:58.505,1.331634,0.827400,1.2300,0.4700,-1.2900,329.9600,823.6100,-252.5600,1.843339,922.493137,"1.23,0.47,-1.29,329.96,823.61,-252.56"
33,2026-07-27T13:19:58.506,1.332411,0.777700,1.5900,-1.8400,-1.3400,526.7900,642.9400,-491.4600,2.776563,965.615078,"1.59,-1.84,-1.34,526.79,642.94,-491.46"
34,2026-07-27T13:19:58.624,1.450448,118.036600,1.7200,-2.7000,-0.3200,464.7200,201.2300,-303.1600,3.217266,590.223836,"1.72,-2.70,-0.32,464.72,201.23,-303.16"
35,2026-07-27T13:19:58.624,1.450641,0.193200,2.1100,-1.3900,0.1100,110.1700,-193.7900,250.4300,2.529091,335.271797,"2.11,-1.39,0.11,110.17,-193.79,250.43"
36,2026-07-27T13:19:58.625,1.451571,0.929500,2.8200,0.6300,1.2300,-349.6100,-590.7600,715.1500,3.140414,991.294130,"2.82,0.63,1.23,-349.61,-590.76,715.15"
37,2026-07-27T13:19:58.744,1.569951,118.380200,2.8800,1.7200,3.1700,-538.7600,-768.9800,662.2300,4.615376,1148.973956,"2.88,1.72,3.17,-538.76,-768.98,662.23"
38,2026-07-27T13:19:58.744,1.570196,0.245600,2.2800,1.4300,3.2600,229.4900,553.5900,-271.4200,4.227399,657.872605,"2.28,1.43,3.26,229.49,553.59,-271.42"
39,2026-07-27T13:19:58.745,1.571286,1.089400,1.7000,0.7600,1.1300,342.1600,812.7400,-510.8000,2.178187,1019.086068,"1.70,0.76,1.13,342.16,812.74,-510.80"
