packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T13:47:09.443,0.029033,,-0.0500,-0.2400,2.1000,205.6900,-156.6200,-4.7600,2.114261,258.574666,"-0.05,-0.24,2.10,205.69,-156.62,-4.76"
2,2026-07-27T13:47:09.471,0.056889,27.855200,0.0400,0.0500,2.0900,189.8200,-140.4400,-86.7300,2.090981,251.549436,"0.04,0.05,2.09,189.82,-140.44,-86.73"
3,2026-07-27T13:47:09.516,0.101999,45.110300,0.0600,0.5600,1.8600,195.1900,-99.6100,-102.9100,1.943399,242.098650,"0.06,0.56,1.86,195.19,-99.61,-102.91"
4,2026-07-27T13:47:09.561,0.147554,45.555300,-0.2300,1.0300,1.4800,163.2100,-39.1200,-37.4100,1.817746,171.951698,"-0.23,1.03,1.48,163.21,-39.12,-37.41"
5,2026-07-27T13:47:09.606,0.192613,45.058500,-0.5100,1.3100,1.0100,99.3700,25.8200,81.2400,1.730982,130.923668,"-0.51,1.31,1.01,99.37,25.82,81.24"
6,2026-07-27T13:47:09.636,0.221980,29.367500,-0.1300,1.2800,0.7600,44.4900,44.8000,216.2500,1.494289,225.278633,"-0.13,1.28,0.76,44.49,44.80,216.25"
7,2026-07-27T13:47:09.683,0.269202,47.221600,0.4500,0.8800,0.6800,-1.3400,-52.0000,323.3600,1.199708,327.517153,"0.45,0.88,0.68,-1.34,-52.00,323.36"
8,2026-07-27T13:47:09.726,0.312166,42.964400,0.7500,0.3100,0.5600,-41.8100,-138.4900,354.0000,0.986002,382.418039,"0.75,0.31,0.56,-41.81,-138.49,354.00"
9,2026-07-27T13:47:09.756,0.342201,30.034700,0.6800,-0.0100,0.3600,-48.2800,-96.0700,293.7000,0.769480,312.762039,"0.68,-0.01,0.36,-48.28,-96.07,293.70"
10,2026-07-27T13:47:09.801,0.387134,44.933300,0.4500,0.0700,0.1600,-19.2900,13.6700,194.0300,0.482701,195.465122,"0.45,0.07,0.16,-19.29,13.67,194.03"
11,2026-07-27T13:47:09.846,0.432364,45.230100,0.4300,0.1300,0.2800,21.3000,94.6000,127.6900,0.529339,160.335854,"0.43,0.13,0.28,21.30,94.60,127.69"
