packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-08-03T12:22:22.854,1.028992,,-0.7000,-0.7000,0.4400,-30.8800,-76.2900,-48.6500,1.083328,95.606281,"-0.70,-0.70,0.44,-30.88,-76.29,-48.65"
2,2026-08-03T12:22:22.881,1.055947,26.955300,-0.6500,-0.6300,0.3400,-7.7500,-69.3400,-22.4000,0.966954,73.279316,"-0.65,-0.63,0.34,-7.75,-69.34,-22.40"
3,2026-08-03T12:22:22.909,1.083646,27.699300,-0.6600,-0.4200,0.3700,82.8200,-96.6200,13.0600,0.865390,127.926308,"-0.66,-0.42,0.37,82.82,-96.62,13.06"
4,2026-08-03T12:22:22.922,1.097344,13.697500,-0.6600,-0.4200,0.3700,82.8200,-96.6200,13.0600,0.865390,127.926308,"-0.66,-0.42,0.37,82.82,-96.62,13.06"
5,2026-08-03T12:22:22.950,1.124987,27.643300,-0.6900,-0.3200,0.5600,150.3900,-139.3400,-3.2300,0.944510,205.044436,"-0.69,-0.32,0.56,150.39,-139.34,-3.23"
6,2026-08-03T12:22:22.977,1.152458,27.470700,-0.6800,-0.4300,0.7400,169.2500,-143.7400,-48.9500,1.093115,227.382613,"-0.68,-0.43,0.74,169.25,-143.74,-48.95"
7,2026-08-03T12:22:23.004,1.179581,27.123200,-0.6800,-0.4300,0.7400,169.2500,-143.7400,-48.9500,1.093115,227.382613,"-0.68,-0.43,0.74,169.25,-143.74,-48.95"
8,2026-08-03T12:22:23.032,1.207286,27.705100,-0.6700,-0.5100,0.8300,171.2000,-106.6300,-21.4800,1.182328,202.831919,"-0.67,-0.51,0.83,171.20,-106.63,-21.48"
9,2026-08-03T12:22:23.046,1.220837,13.551400,-0.6700,-0.5100,0.8300,171.2000,-106.6300,-21.4800,1.182328,202.831919,"-0.67,-0.51,0.83,171.20,-106.63,-21.48"
10,2026-08-03T12:22:23.080,1.255157,34.320200,-0.6900,-0.4100,0.8500,112.5500,-89.8400,79.2200,1.169059,164.360994,"-0.69,-0.41,0.85,112.55,-89.84,79.22"
11,2026-08-03T12:22:23.124,1.298732,43.574200,-0.6900,-0.4100,0.8500,112.5500,-89.8400,79.2200,1.169059,164.360994,"-0.69,-0.41,0.85,112.55,-89.84,79.22"
12,2026-08-03T12:22:23.124,1.299188,0.456600,-0.5800,-0.3800,0.8800,-21.3600,-115.9100,133.9700,1.120357,178.435811,"-0.58,-0.38,0.88,-21.36,-115.91,133.97"
13,2026-08-03T12:22:23.167,1.342542,43.353400,-0.4400,-0.4400,0.9100,-110.4100,-98.0200,102.1700,1.102406,179.546644,"-0.44,-0.44,0.91,-110.41,-98.02,102.17"
14,2026-08-03T12:22:23.167,1.342763,0.221200,-0.4400,-0.4400,0.9100,-110.4100,-98.0200,102.1700,1.102406,179.546644,"-0.44,-0.44,0.91,-110.41,-98.02,102.17"
15,2026-08-03T12:22:23.211,1.386099,43.336500,-0.5500,-0.4300,0.8400,-76.8400,0.4300,62.4400,1.092245,99.011737,"-0.55,-0.43,0.84,-76.84,0.43,62.44"
16,2026-08-03T12:22:23.212,1.386693,0.593900,-0.5500,-0.4300,0.8400,-76.8400,0.4300,62.4400,1.092245,99.011737,"-0.55,-0.43,0.84,-76.84,0.43,62.44"
17,2026-08-03T12:22:23.255,1.429859,43.165700,-0.7700,-0.3500,0.7200,7.0200,72.3900,49.3200,1.110766,87.875223,"-0.77,-0.35,0.72,7.02,72.39,49.32"
18,2026-08-03T12:22:23.255,1.430117,0.258300,-0.7700,-0.3500,0.7200,7.0200,72.3900,49.3200,1.110766,87.875223,"-0.77,-0.35,0.72,7.02,72.39,49.32"
19,2026-08-03T12:22:23.342,1.517106,86.988300,-0.9200,-0.2200,0.6200,58.6500,56.5200,27.7700,1.131017,86.055249,"-0.92,-0.22,0.62,58.65,56.52,27.77"
20,2026-08-03T12:22:23.342,1.517630,0.524100,-0.9500,-0.0700,0.5500,55.9700,32.4700,-15.0100,1.099955,66.424709,"-0.95,-0.07,0.55,55.97,32.47,-15.01"
21,2026-08-03T12:22:23.343,1.518402,0.772000,-0.9500,-0.0700,0.5500,55.9700,32.4700,-15.0100,1.099955,66.424709,"-0.95,-0.07,0.55,55.97,32.47,-15.01"
22,2026-08-03T12:22:23.344,1.519520,1.118200,-0.8500,-0.0500,0.4300,33.5700,42.1100,-28.5600,0.953887,60.957941,"-0.85,-0.05,0.43,33.57,42.11,-28.56"
23,2026-08-03T12:22:23.385,1.560787,41.267400,-0.8500,-0.0500,0.4300,33.5700,42.1100,-28.5600,0.953887,60.957941,"-0.85,-0.05,0.43,33.57,42.11,-28.56"
24,2026-08-03T12:22:23.386,1.561383,0.595800,-0.5900,-0.1600,0.4300,12.2700,15.7500,32.2900,0.747395,37.963924,"-0.59,-0.16,0.43,12.27,15.75,32.29"
25,2026-08-03T12:22:23.429,1.604490,43.107100,-0.5900,-0.1600,0.4300,12.2700,15.7500,32.2900,0.747395,37.963924,"-0.59,-0.16,0.43,12.27,15.75,32.29"
26,2026-08-03T12:22:23.429,1.605047,0.556900,-0.3800,-0.2900,0.5900,14.3400,-28.9300,113.2800,0.759342,117.791931,"-0.38,-0.29,0.59,14.34,-28.93,113.28"
27,2026-08-03T12:22:23.473,1.648402,43.354800,-0.2900,-0.3300,0.7900,51.7000,-55.7300,156.1900,0.903936,173.706762,"-0.29,-0.33,0.79,51.70,-55.73,156.19"
28,2026-08-03T12:22:23.517,1.692300,43.898500,-0.2900,-0.3300,0.7900,51.7000,-55.7300,156.1900,0.903936,173.706762,"-0.29,-0.33,0.79,51.70,-55.73,156.19"
29,2026-08-03T12:22:23.518,1.693155,0.854300,-0.1900,-0.3100,1.0400,26.2500,-116.8200,163.8800,1.101726,202.959674,"-0.19,-0.31,1.04,26.25,-116.82,163.88"
30,2026-08-03T12:22:23.604,1.779474,86.319500,-0.1900,-0.3100,1.0400,26.2500,-116.8200,163.8800,1.101726,202.959674,"-0.19,-0.31,1.04,26.25,-116.82,163.88"
31,2026-08-03T12:22:23.605,1.780155,0.681000,-0.1300,-0.2700,1.1800,-86.3000,-157.7800,153.0200,1.217456,236.129919,"-0.13,-0.27,1.18,-86.30,-157.78,153.02"
32,2026-08-03T12:22:23.606,1.780883,0.728200,-0.1300,-0.2700,1.1800,-86.3000,-157.7800,153.0200,1.217456,236.129919,"-0.13,-0.27,1.18,-86.30,-157.78,153.02"
33,2026-08-03T12:22:23.607,1.781778,0.894200,-0.1500,-0.2200,1.1000,-177.4900,-126.2800,138.4900,1.131769,258.125587,"-0.15,-0.22,1.10,-177.49,-126.28,138.49"
34,2026-08-03T12:22:23.692,1.867033,85.254900,-0.1400,-0.1200,0.9900,-181.8200,-84.1100,137.7600,1.007025,243.127173,"-0.14,-0.12,0.99,-181.82,-84.11,137.76"
35,2026-08-03T12:22:23.692,1.867642,0.609900,-0.1400,-0.1200,0.9900,-181.8200,-84.1100,137.7600,1.007025,243.127173,"-0.14,-0.12,0.99,-181.82,-84.11,137.76"
36,2026-08-03T12:22:23.693,1.868416,0.773200,-0.1600,0.0200,0.9300,-128.4200,-66.3500,162.6000,0.943875,217.560977,"-0.16,0.02,0.93,-128.42,-66.35,162.60"
37,2026-08-03T12:22:23.694,1.869245,0.829200,-0.1600,0.0200,0.9300,-128.4200,-66.3500,162.6000,0.943875,217.560977,"-0.16,0.02,0.93,-128.42,-66.35,162.60"
38,2026-08-03T12:22:23.735,1.910764,41.519700,-0.2700,0.0900,1.0600,-72.5100,-58.6500,170.1000,1.097543,193.988486,"-0.27,0.09,1.06,-72.51,-58.65,170.10"
39,2026-08-03T12:22:23.736,1.911233,0.468800,-0.2700,0.0900,1.0600,-72.5100,-58.6500,170.1000,1.097543,193.988486,"-0.27,0.09,1.06,-72.51,-58.65,170.10"
40,2026-08-03T12:22:23.823,1.998284,87.050800,-0.3000,0.0500,1.1400,-41.4400,-47.0600,135.0700,1.179873,148.915486,"-0.30,0.05,1.14,-41.44,-47.06,135.07"
41,2026-08-03T12:22:23.823,1.998797,0.513100,-0.2600,-0.1100,0.9800,-42.7900,-56.2100,99.9800,1.019853,122.419560,"-0.26,-0.11,0.98,-42.79,-56.21,99.98"
42,2026-08-03T12:22:23.824,1.999607,0.809300,-0.2600,-0.1100,0.9800,-42.7900,-56.2100,99.9800,1.019853,122.419560,"-0.26,-0.11,0.98,-42.79,-56.21,99.98"
43,2026-08-03T12:22:23.825,2.000366,0.759200,-0.1800,-0.2700,0.9000,-37.6600,-70.7400,66.4100,0.956713,104.080312,"-0.18,-0.27,0.90,-37.66,-70.74,66.41"
44,2026-08-03T12:22:23.866,2.042022,41.656600,-0.1800,-0.2700,0.9000,-37.6600,-70.7400,66.4100,0.956713,104.080312,"-0.18,-0.27,0.90,-37.66,-70.74,66.41"
45,2026-08-03T12:22:23.867,2.042671,0.649100,-0.1700,-0.2600,1.0000,-6.7100,-59.4500,31.9800,1.047139,67.838389,"-0.17,-0.26,1.00,-6.71,-59.45,31.98"
46,2026-08-03T12:22:23.955,2.129742,87.070700,-0.1700,-0.2600,1.0000,-6.7100,-59.4500,31.9800,1.047139,67.838389,"-0.17,-0.26,1.00,-6.71,-59.45,31.98"
47,2026-08-03T12:22:23.955,2.130174,0.432400,-0.2200,-0.2100,1.0700,17.7600,-42.7200,18.9800,1.112385,50.006564,"-0.22,-0.21,1.07,17.76,-42.72,18.98"
48,2026-08-03T12:22:23.956,2.131023,0.848300,-0.2500,-0.2400,1.1100,28.2600,-30.7000,8.6100,1.162841,42.605747,"-0.25,-0.24,1.11,28.26,-30.70,8.61"
49,2026-08-03T12:22:23.957,2.131659,0.636400,-0.2500,-0.2400,1.1100,28.2600,-30.7000,8.6100,1.162841,42.605747,"-0.25,-0.24,1.11,28.26,-30.70,8.61"
50,2026-08-03T12:22:23.999,2.173409,41.749900,-0.3300,-0.1200,1.1500,38.9400,-25.1500,-8.6700,1.202414,47.159464,"-0.33,-0.12,1.15,38.94,-25.15,-8.67"
51,2026-08-03T12:22:24.043,2.217648,44.238800,-0.3300,-0.1200,1.1500,38.9400,-25.1500,-8.6700,1.202414,47.159464,"-0.33,-0.12,1.15,38.94,-25.15,-8.67"
52,2026-08-03T12:22:24.043,2.218046,0.397900,-0.3000,-0.0100,1.0400,36.5600,-35.7700,-37.4800,1.082451,63.410385,"-0.30,-0.01,1.04,36.56,-35.77,-37.48"
53,2026-08-03T12:22:24.086,2.261122,43.076500,-0.3000,-0.0100,1.0400,36.5600,-35.7700,-37.4800,1.082451,63.410385,"-0.30,-0.01,1.04,36.56,-35.77,-37.48"
54,2026-08-03T12:22:24.086,2.261394,0.272100,-0.1500,-0.0400,0.7800,24.6600,-50.7200,-62.9900,0.795299,84.548058,"-0.15,-0.04,0.78,24.66,-50.72,-62.99"
55,2026-08-03T12:22:24.130,2.305331,43.937100,-0.0300,0.0000,0.6800,52.1900,-42.1100,-58.2300,0.680661,88.813181,"-0.03,0.00,0.68,52.19,-42.11,-58.23"
