packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T12:57:25.107,0.457807,,-0.3700,-0.3800,0.2800,53.4100,-58.2900,-62.9900,0.599750,101.084580,"-0.37,-0.38,0.28,53.41,-58.29,-62.99"
2,2026-07-27T12:57:25.108,0.458399,0.592200,-0.7300,-0.0600,0.7600,-96.6200,-189.8200,-50.0500,1.055509,218.796845,"-0.73,-0.06,0.76,-96.62,-189.82,-50.05"
3,2026-07-27T12:57:25.125,0.475907,17.507400,-0.8400,0.2200,1.1100,-134.2200,-198.3000,51.7600,1.409291,244.983665,"-0.84,0.22,1.11,-134.22,-198.30,51.76"
4,2026-07-27T12:57:25.201,0.551802,75.895700,-0.7800,0.2600,1.1200,-107.9700,-129.6400,100.0400,1.389388,196.142938,"-0.78,0.26,1.12,-107.97,-129.64,100.04"
5,2026-07-27T12:57:25.202,0.552344,0.541700,-0.6100,0.1100,0.9700,-73.1200,-43.5800,94.9100,1.151130,127.489838,"-0.61,0.11,0.97,-73.12,-43.58,94.91"
6,2026-07-27T12:57:25.245,0.595949,43.604700,-0.5100,-0.0800,0.8800,-52.0000,-10.1900,71.2900,1.020245,88.826236,"-0.51,-0.08,0.88,-52.00,-10.19,71.29"
7,2026-07-27T12:57:25.291,0.642208,46.259600,-0.4900,-0.1100,0.8300,-33.0800,-16.8500,38.3900,0.970103,53.404129,"-0.49,-0.11,0.83,-33.08,-16.85,38.39"
8,2026-07-27T12:57:25.366,0.716581,74.372500,-0.5100,-0.0300,0.8600,-18.9800,-32.2900,24.6600,1.000300,44.844176,"-0.51,-0.03,0.86,-18.98,-32.29,24.66"
9,2026-07-27T12:57:25.368,0.718437,1.855700,-0.5000,0.0500,0.8800,-7.2000,-54.4400,18.3700,1.013361,57.905185,"-0.50,0.05,0.88,-7.20,-54.44,18.37"
10,2026-07-27T12:57:25.411,0.761891,43.454700,-0.4100,0.1200,0.9100,14.8300,-95.9500,-10.9900,1.005286,97.709321,"-0.41,0.12,0.91,14.83,-95.95,-10.99"
11,2026-07-27T12:57:25.441,0.791996,30.105000,-0.2900,0.1600,0.9500,28.2600,-135.3800,-58.4100,1.006082,150.126947,"-0.29,0.16,0.95,28.26,-135.38,-58.41"
12,2026-07-27T12:57:25.530,0.881223,89.227000,-0.2000,0.1400,0.9800,21.0600,-129.2700,-87.5900,1.009950,157.563526,"-0.20,0.14,0.98,21.06,-129.27,-87.59"
13,2026-07-27T12:57:25.531,0.881976,0.753100,-0.1800,0.0600,0.9900,6.2900,-90.6400,-85.0800,1.008018,124.474014,"-0.18,0.06,0.99,6.29,-90.64,-85.08"
14,2026-07-27T12:57:25.590,0.941036,59.059100,-0.1500,0.0100,1.0000,-2.0800,-59.6900,-64.3300,1.011237,87.781384,"-0.15,0.01,1.00,-2.08,-59.69,-64.33"
15,2026-07-27T12:57:25.605,0.955529,14.493800,-0.1000,0.0300,1.0000,-4.3900,-46.5100,-39.3700,1.005435,61.093773,"-0.10,0.03,1.00,-4.39,-46.51,-39.37"
16,2026-07-27T12:57:25.682,1.033096,77.567100,-0.0700,0.0400,1.0000,-6.1000,-46.5700,-25.3300,1.003245,53.362757,"-0.07,0.04,1.00,-6.10,-46.57,-25.33"
17,2026-07-27T12:57:25.684,1.034745,1.648200,-0.0400,0.0100,0.9800,-5.0000,-49.1900,-24.6600,0.980867,55.251893,"-0.04,0.01,0.98,-5.00,-49.19,-24.66"
18,2026-07-27T12:57:25.725,1.075572,40.827100,-0.0200,-0.0200,0.9700,2.8700,-45.3500,-25.9400,0.970412,52.323446,"-0.02,-0.02,0.97,2.87,-45.35,-25.94"
19,2026-07-27T12:57:25.770,1.121108,45.536100,0.0100,-0.0100,0.9800,12.2100,-44.0700,-20.7500,0.980102,50.217641,"0.01,-0.01,0.98,12.21,-44.07,-20.75"
20,2026-07-27T12:57:25.890,1.240691,119.582900,0.0300,0.0200,1.0000,17.2700,-43.8200,-10.8600,1.000650,48.336166,"0.03,0.02,1.00,17.27,-43.82,-10.86"
21,2026-07-27T12:57:25.890,1.241156,0.464900,0.0500,0.0500,1.0200,17.1500,-32.4700,-3.3000,1.022448,36.868868,"0.05,0.05,1.02,17.15,-32.47,-3.30"
22,2026-07-27T12:57:25.891,1.241383,0.227300,0.0500,0.0500,1.0100,13.5500,-18.6200,-0.6100,1.012472,23.036471,"0.05,0.05,1.01,13.55,-18.62,-0.61"
23,2026-07-27T12:57:25.950,1.300701,59.317700,0.0600,0.0500,0.9800,9.4000,-14.2200,-1.2800,0.983107,17.094057,"0.06,0.05,0.98,9.40,-14.22,-1.28"
