packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T13:54:26.433,0.038939,,-0.2800,0.2600,1.0200,-69.1500,17.2100,-10.4400,1.089220,72.020137,"-0.28,0.26,1.02,-69.15,17.21,-10.44"
2,2026-07-27T13:54:26.462,0.067637,28.697700,-0.4700,0.0900,0.9600,-78.9800,1.2200,-9.0900,1.072660,79.510734,"-0.47,0.09,0.96,-78.98,1.22,-9.09"
3,2026-07-27T13:54:26.492,0.097787,30.150100,-0.3600,0.0700,0.9300,-77.0900,-16.9100,3.1700,0.999700,78.986487,"-0.36,0.07,0.93,-77.09,-16.91,3.17"
4,2026-07-27T13:54:26.552,0.157728,59.940900,-0.1600,0.1300,0.9300,-70.6800,-8.3600,20.0200,0.952575,73.934785,"-0.16,0.13,0.93,-70.68,-8.36,20.02"
5,2026-07-27T13:54:26.582,0.187411,29.683800,-0.2200,0.0400,0.9300,-66.5300,16.2400,32.4700,0.956504,75.791025,"-0.22,0.04,0.93,-66.53,16.24,32.47"
6,2026-07-27T13:54:26.627,0.232411,44.999100,-0.3100,-0.0200,0.9500,-58.8400,34.9700,31.7400,0.999500,75.448486,"-0.31,-0.02,0.95,-58.84,34.97,31.74"
7,2026-07-27T13:54:26.673,0.278611,46.200700,-0.3600,-0.0200,0.9600,-23.6200,39.0000,18.3700,1.025475,49.156498,"-0.36,-0.02,0.96,-23.62,39.00,18.37"
8,2026-07-27T13:54:26.702,0.307808,29.196700,-0.3500,0.0300,0.9600,40.8300,25.8800,-7.2600,1.022252,48.883237,"-0.35,0.03,0.96,40.83,25.88,-7.26"
9,2026-07-27T13:54:26.732,0.337806,29.997800,-0.3200,0.1100,0.9500,91.9200,1.4600,-42.6000,1.008464,101.322150,"-0.32,0.11,0.95,91.92,1.46,-42.60"
10,2026-07-27T13:54:26.777,0.382679,44.873500,-0.2600,0.1300,0.9000,99.0000,-21.9700,-55.4800,0.945780,115.592869,"-0.26,0.13,0.90,99.00,-21.97,-55.48"
11,2026-07-27T13:54:26.822,0.428161,45.482200,-0.1900,0.0900,0.8100,61.4000,-23.9900,-47.9100,0.836839,81.491400,"-0.19,0.09,0.81,61.40,-23.99,-47.91"
12,2026-07-27T13:54:26.852,0.457928,29.766900,-0.2200,0.0700,0.8000,10.0700,0.1200,-46.7500,0.832646,47.822399,"-0.22,0.07,0.80,10.07,0.12,-46.75"
