packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T13:53:57.160,0.103837,,-0.3300,0.4200,0.8300,0.9800,1.6500,0.9200,0.987016,2.128215,"-0.33,0.42,0.83,0.98,1.65,0.92"
2,2026-07-27T13:53:57.162,0.106512,2.674900,-0.3200,0.4200,0.8300,1.2800,0.9800,0.3100,0.983717,1.641615,"-0.32,0.42,0.83,1.28,0.98,0.31"
3,2026-07-27T13:53:57.174,0.118443,11.931200,-0.3200,0.4200,0.8400,1.3400,1.0400,0.3100,0.992169,1.724326,"-0.32,0.42,0.84,1.34,1.04,0.31"
4,2026-07-27T13:53:57.249,0.193333,74.890500,-0.3300,0.4200,0.8500,0.9800,1.0400,0.6100,1.003892,1.553737,"-0.33,0.42,0.85,0.98,1.04,0.61"
5,2026-07-27T13:53:57.250,0.193597,0.264000,-0.3300,0.4200,0.8500,0.1200,0.7900,0.4900,1.003892,0.937337,"-0.33,0.42,0.85,0.12,0.79,0.49"
6,2026-07-27T13:53:57.333,0.276830,83.232700,-0.3300,0.4200,0.8500,-0.3700,0.0600,0.1800,1.003892,0.415812,"-0.33,0.42,0.85,-0.37,0.06,0.18"
7,2026-07-27T13:53:57.333,0.277100,0.269800,-0.3300,0.4200,0.8400,-0.6100,-0.6100,0.0600,0.995440,0.864754,"-0.33,0.42,0.84,-0.61,-0.61,0.06"
8,2026-07-27T13:53:57.369,0.313394,36.294100,-0.3300,0.4200,0.8400,-0.7900,-0.6700,0.1200,0.995440,1.042785,"-0.33,0.42,0.84,-0.79,-0.67,0.12"
9,2026-07-27T13:53:57.463,0.406903,93.508600,-0.3400,0.4200,0.8300,-0.9800,-0.1800,0.0000,0.990404,0.996393,"-0.34,0.42,0.83,-0.98,-0.18,0.00"
10,2026-07-27T13:53:57.463,0.407077,0.174500,-0.3400,0.4200,0.8300,-0.9800,0.3700,-0.4300,0.990404,1.132343,"-0.34,0.42,0.83,-0.98,0.37,-0.43"
11,2026-07-27T13:53:57.537,0.480989,73.912000,-0.3300,0.4200,0.8200,-0.2400,0.2400,-0.8500,0.978621,0.915260,"-0.33,0.42,0.82,-0.24,0.24,-0.85"
12,2026-07-27T13:53:57.537,0.481171,0.182000,-0.3300,0.4300,0.8300,0.8500,-0.1800,-0.9800,0.991312,1.309695,"-0.33,0.43,0.83,0.85,-0.18,-0.98"
13,2026-07-27T13:53:57.564,0.508250,27.079300,-0.3300,0.4300,0.8300,1.4000,-0.2400,-0.7900,0.991312,1.625331,"-0.33,0.43,0.83,1.40,-0.24,-0.79"
14,2026-07-27T13:53:57.669,0.613151,104.900600,-0.3300,0.4300,0.8400,1.4000,0.0600,-0.4300,0.999700,1.465776,"-0.33,0.43,0.84,1.40,0.06,-0.43"
15,2026-07-27T13:53:57.669,0.613397,0.245700,-0.3300,0.4300,0.8500,0.9200,0.5500,-0.1200,1.008117,1.078564,"-0.33,0.43,0.85,0.92,0.55,-0.12"
16,2026-07-27T13:53:57.684,0.627945,14.548100,-0.3300,0.4300,0.8400,0.0000,0.7300,0.1200,0.999700,0.739797,"-0.33,0.43,0.84,0.00,0.73,0.12"
17,2026-07-27T13:53:57.789,0.733259,105.314200,-0.3400,0.4200,0.8400,-1.0400,0.6100,-0.0600,0.998799,1.207187,"-0.34,0.42,0.84,-1.04,0.61,-0.06"
18,2026-07-27T13:53:57.789,0.733462,0.202900,-0.3400,0.4200,0.8300,-1.5300,0.0000,-0.3700,0.990404,1.574103,"-0.34,0.42,0.83,-1.53,0.00,-0.37"
19,2026-07-27T13:53:57.821,0.764891,31.429100,-0.3300,0.4200,0.8300,-1.4600,-0.6700,-0.6100,0.987016,1.718313,"-0.33,0.42,0.83,-1.46,-0.67,-0.61"
20,2026-07-27T13:53:57.864,0.808434,43.543200,-0.3300,0.4200,0.8200,-1.4600,-0.7900,-0.4900,0.978621,1.730838,"-0.33,0.42,0.82,-1.46,-0.79,-0.49"
21,2026-07-27T13:53:57.880,0.824571,16.137100,-0.3400,0.4200,0.8300,-1.1600,-0.6700,0.0600,0.990404,1.340933,"-0.34,0.42,0.83,-1.16,-0.67,0.06"
22,2026-07-27T13:53:58.074,1.017946,193.374300,-0.3400,0.4200,0.8300,-0.4300,-0.4900,0.4300,0.990404,0.780961,"-0.34,0.42,0.83,-0.43,-0.49,0.43"
23,2026-07-27T13:53:58.074,1.018223,0.277600,-0.3400,0.4200,0.8300,0.1200,-0.5500,0.2400,0.990404,0.611964,"-0.34,0.42,0.83,0.12,-0.55,0.24"
24,2026-07-27T13:53:58.075,1.018658,0.435000,-0.3400,0.4200,0.8400,0.1800,-0.5500,-0.1200,0.998799,0.591016,"-0.34,0.42,0.84,0.18,-0.55,-0.12"
