packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T13:49:42.970,0.087131,,0.7400,0.2700,0.5000,89.6600,47.5500,42.7900,0.933006,110.140375,"0.74,0.27,0.50,89.66,47.55,42.79"
2,2026-07-27T13:49:43.015,0.132129,44.998300,0.7400,0.3300,0.5000,89.6600,47.5500,42.7900,0.952103,110.140375,"0.74,0.33,0.50,89.66,47.55,42.79"
3,2026-07-27T13:49:43.043,0.160032,27.902900,0.7600,0.2100,0.6000,74.6500,40.8900,24.3500,0.990808,88.529866,"0.76,0.21,0.60,74.65,40.89,24.35"
4,2026-07-27T13:49:43.088,0.204950,44.918200,0.7500,0.0700,0.7300,62.5600,32.1000,30.5200,1.048952,76.652684,"0.75,0.07,0.73,62.56,32.10,30.52"
5,2026-07-27T13:49:43.135,0.251706,46.755400,0.7100,0.0200,0.7700,62.3200,25.0200,38.8800,1.047569,77.597920,"0.71,0.02,0.77,62.32,25.02,38.88"
6,2026-07-27T13:49:43.164,0.280923,29.217500,0.6900,0.0400,0.7600,58.9000,18.7400,38.8800,1.027278,73.020901,"0.69,0.04,0.76,58.90,18.74,38.88"
7,2026-07-27T13:49:43.209,0.326065,45.142000,0.6800,0.0800,0.7400,45.4100,12.2700,31.0100,1.008167,56.340404,"0.68,0.08,0.74,45.41,12.27,31.01"
8,2026-07-27T13:49:43.254,0.371151,45.085800,0.6600,0.0900,0.7500,27.8300,6.2300,18.1300,1.003095,33.793767,"0.66,0.09,0.75,27.83,6.23,18.13"
9,2026-07-27T13:49:43.283,0.399675,28.523500,0.6600,0.0700,0.7800,14.5900,2.5600,6.1600,1.024158,16.042671,"0.66,0.07,0.78,14.59,2.56,6.16"
10,2026-07-27T13:49:43.328,0.444537,44.862400,0.6600,0.0400,0.8200,9.1600,1.4000,0.9800,1.053376,9.318047,"0.66,0.04,0.82,9.16,1.40,0.98"
11,2026-07-27T13:49:43.373,0.489997,45.460100,0.6500,0.0600,0.8200,6.5900,1.5300,2.8100,1.048094,7.325647,"0.65,0.06,0.82,6.59,1.53,2.81"
12,2026-07-27T13:49:43.403,0.519785,29.787400,0.6800,0.1000,0.7700,-0.1200,2.8700,5.6200,1.032134,6.311553,"0.68,0.10,0.77,-0.12,2.87,5.62"
13,2026-07-27T13:49:43.449,0.565696,45.911100,0.7200,0.1600,0.6900,-8.1800,4.8800,6.0400,1.010000,11.278670,"0.72,0.16,0.69,-8.18,4.88,6.04"
14,2026-07-27T13:49:43.494,0.610420,44.724000,0.7400,0.1900,0.6400,-8.7900,5.4900,7.3900,0.996644,12.728562,"0.74,0.19,0.64,-8.79,5.49,7.39"
15,2026-07-27T13:49:43.523,0.639274,28.854100,0.7400,0.1900,0.6400,-0.0600,1.8900,10.0700,0.996644,10.246004,"0.74,0.19,0.64,-0.06,1.89,10.07"
16,2026-07-27T13:49:43.569,0.685186,45.912600,0.7000,0.1300,0.7100,10.4400,-5.6800,9.9500,1.005485,15.500274,"0.70,0.13,0.71,10.44,-5.68,9.95"
17,2026-07-27T13:49:43.613,0.729664,44.477200,0.6700,0.0500,0.7800,16.6600,-11.2900,7.4500,1.029466,21.459781,"0.67,0.05,0.78,16.66,-11.29,7.45"
18,2026-07-27T13:49:43.645,0.761724,32.060000,0.6500,0.0100,0.8100,17.0900,-10.0700,4.6400,1.038605,20.371613,"0.65,0.01,0.81,17.09,-10.07,4.64"
19,2026-07-27T13:49:43.691,0.807409,45.685800,0.6600,0.0200,0.7800,8.3000,-4.6400,-2.1400,1.021959,9.746753,"0.66,0.02,0.78,8.30,-4.64,-2.14"
20,2026-07-27T13:49:43.734,0.851006,43.596300,0.7100,0.0600,0.7100,-7.6900,-0.1800,-11.9000,1.005883,14.169633,"0.71,0.06,0.71,-7.69,-0.18,-11.90"
21,2026-07-27T13:49:43.765,0.881435,30.429400,0.7600,0.1100,0.6600,-18.8600,1.1600,-15.0800,1.012571,24.175434,"0.76,0.11,0.66,-18.86,1.16,-15.08"
22,2026-07-27T13:49:43.809,0.925936,44.501100,0.7800,0.1400,0.6400,-17.7600,-0.4900,-8.8500,1.018627,19.848934,"0.78,0.14,0.64,-17.76,-0.49,-8.85"
23,2026-07-27T13:49:43.858,0.974191,48.254900,0.7600,0.1400,0.6500,-7.3900,-2.9900,0.7300,1.009802,8.005317,"0.76,0.14,0.65,-7.39,-2.99,0.73"
24,2026-07-27T13:49:43.883,0.999726,25.535000,0.7200,0.1200,0.6800,3.0500,-4.2100,6.7700,0.997597,8.535778,"0.72,0.12,0.68,3.05,-4.21,6.77"
25,2026-07-27T13:49:43.931,1.047918,48.191600,0.7100,0.1000,0.7000,5.8600,-3.7800,5.9800,1.002048,9.186316,"0.71,0.10,0.70,5.86,-3.78,5.98"
26,2026-07-27T13:49:43.975,1.091283,43.365100,0.7300,0.1000,0.7000,2.9900,-2.6200,2.0800,1.016317,4.486747,"0.73,0.10,0.70,2.99,-2.62,2.08"
27,2026-07-27T13:49:44.005,1.121327,30.044700,0.7400,0.1100,0.6700,1.7700,-1.2200,0.6100,1.004291,2.234592,"0.74,0.11,0.67,1.77,-1.22,0.61"
28,2026-07-27T13:49:44.049,1.165540,44.212700,0.7500,0.1200,0.6600,4.0300,-0.6100,2.0100,1.006231,4.544568,"0.75,0.12,0.66,4.03,-0.61,2.01"
29,2026-07-27T13:49:44.094,1.210567,45.027200,0.7500,0.1100,0.6600,7.0200,-1.1000,4.2100,1.005087,8.259207,"0.75,0.11,0.66,7.02,-1.10,4.21"
30,2026-07-27T13:49:44.127,1.243675,33.108100,0.7400,0.1100,0.6700,8.4800,-1.9500,6.1000,1.004291,10.626519,"0.74,0.11,0.67,8.48,-1.95,6.10"
31,2026-07-27T13:49:44.191,1.307975,64.299200,0.7400,0.1200,0.6800,8.0600,-2.4400,7.0800,1.012126,11.001982,"0.74,0.12,0.68,8.06,-2.44,7.08"
32,2026-07-27T13:49:44.245,1.361349,53.374600,0.7400,0.1300,0.6800,6.9600,-2.6900,6.8400,1.013361,10.122416,"0.74,0.13,0.68,6.96,-2.69,6.84"
33,2026-07-27T13:49:44.245,1.361814,0.464300,0.7400,0.1300,0.6800,6.7700,-2.6900,6.1000,1.013361,9.501526,"0.74,0.13,0.68,6.77,-2.69,6.10"
34,2026-07-27T13:49:44.305,1.422066,60.252600,0.7400,0.1300,0.6700,8.9700,-2.0800,6.5900,1.006678,11.323224,"0.74,0.13,0.67,8.97,-2.08,6.59"
35,2026-07-27T13:49:44.364,1.481013,58.946400,0.7300,0.1200,0.6800,12.7000,-1.2800,8.2400,1.004838,15.192959,"0.73,0.12,0.68,12.70,-1.28,8.24"
36,2026-07-27T13:49:44.365,1.481756,0.743500,0.7200,0.1000,0.6900,14.5300,-0.7900,8.6100,1.002247,16.907901,"0.72,0.10,0.69,14.53,-0.79,8.61"
37,2026-07-27T13:49:44.423,1.539860,58.104100,0.7200,0.0900,0.7000,12.7000,-0.6700,6.4100,1.008216,14.241734,"0.72,0.09,0.70,12.70,-0.67,6.41"
38,2026-07-27T13:49:44.484,1.600693,60.832300,0.7300,0.0900,0.7000,8.6100,-0.6700,3.1100,1.015382,9.178949,"0.73,0.09,0.70,8.61,-0.67,3.11"
39,2026-07-27T13:49:44.484,1.601061,0.368200,0.7400,0.0900,0.6900,4.3900,-0.4900,0.3700,1.015776,4.432731,"0.74,0.09,0.69,4.39,-0.49,0.37"
40,2026-07-27T13:49:44.543,1.659439,58.378300,0.7500,0.1000,0.6700,0.9200,-0.4900,-1.5300,1.010643,1.851324,"0.75,0.10,0.67,0.92,-0.49,-1.53"
41,2026-07-27T13:49:44.609,1.725376,65.937100,0.7600,0.1100,0.6600,-1.8900,-1.1600,-2.5000,1.012571,3.341811,"0.76,0.11,0.66,-1.89,-1.16,-2.50"
42,2026-07-27T13:49:44.609,1.725785,0.409400,0.7500,0.1200,0.6600,-3.0500,-2.2600,-1.5900,1.006231,4.115604,"0.75,0.12,0.66,-3.05,-2.26,-1.59"
43,2026-07-27T13:49:44.664,1.780283,54.497400,0.7400,0.1300,0.6700,-1.8900,-2.7500,0.4300,1.006678,3.364446,"0.74,0.13,0.67,-1.89,-2.75,0.43"
44,2026-07-27T13:49:44.724,1.841139,60.855900,0.7300,0.1200,0.6900,-0.1800,-2.2000,1.1000,1.011632,2.466252,"0.73,0.12,0.69,-0.18,-2.20,1.10"
45,2026-07-27T13:49:44.725,1.841470,0.331000,0.7300,0.1200,0.6900,-0.5500,-1.1600,-1.5900,1.011632,2.043575,"0.73,0.12,0.69,-0.55,-1.16,-1.59"
46,2026-07-27T13:49:44.783,1.899863,58.393100,0.7300,0.1100,0.6900,-3.6600,-0.4300,-6.4700,1.010495,7.445898,"0.73,0.11,0.69,-3.66,-0.43,-6.47"
47,2026-07-27T13:49:44.843,1.959669,59.806500,0.7500,0.1100,0.6800,-8.0000,-0.3700,-10.3800,1.018332,13.110351,"0.75,0.11,0.68,-8.00,-0.37,-10.38"
48,2026-07-27T13:49:44.843,1.959853,0.183500,0.7600,0.1200,0.6600,-11.7800,-0.6100,-11.4100,1.013706,16.411234,"0.76,0.12,0.66,-11.78,-0.61,-11.41"
49,2026-07-27T13:49:44.904,2.020881,61.028100,0.7700,0.1500,0.6400,-13.6100,-0.6100,-9.6400,1.012423,16.689332,"0.77,0.15,0.64,-13.61,-0.61,-9.64"
50,2026-07-27T13:49:44.965,2.081368,60.486700,0.7700,0.1700,0.6300,-13.1800,-0.4900,-6.3500,1.009307,14.638135,"0.77,0.17,0.63,-13.18,-0.49,-6.35"
51,2026-07-27T13:49:44.966,2.082258,0.889900,0.7600,0.1800,0.6400,-11.1700,-0.8500,-2.9300,1.009752,11.579132,"0.76,0.18,0.64,-11.17,-0.85,-2.93"
52,2026-07-27T13:49:45.023,2.139661,57.403100,0.7500,0.1800,0.6600,-9.5800,-1.5300,-0.4900,1.015135,9.713774,"0.75,0.18,0.66,-9.58,-1.53,-0.49"
53,2026-07-27T13:49:45.083,2.199407,59.746600,0.7500,0.1800,0.6600,-9.2800,-1.5900,1.2800,1.015135,9.501837,"0.75,0.18,0.66,-9.28,-1.59,1.28"
54,2026-07-27T13:49:45.083,2.199690,0.282600,0.7300,0.1900,0.6500,-7.3900,-0.7900,3.9100,0.995741,8.397875,"0.73,0.19,0.65,-7.39,-0.79,3.91"
55,2026-07-27T13:49:45.143,2.259952,60.262400,0.7000,0.1700,0.6700,-2.5600,-0.0600,6.9600,0.983768,7.416118,"0.70,0.17,0.67,-2.56,-0.06,6.96"
56,2026-07-27T13:49:45.204,2.320885,60.933000,0.6500,0.1300,0.7300,0.5500,-0.6100,6.3500,0.986053,6.402898,"0.65,0.13,0.73,0.55,-0.61,6.35"
57,2026-07-27T13:49:45.204,2.320926,0.040200,0.6100,0.0800,0.8000,-6.1600,-3.9700,-4.2100,1.009208,8.451663,"0.61,0.08,0.80,-6.16,-3.97,-4.21"
58,2026-07-27T13:49:45.327,2.443621,122.696000,0.6100,-0.0300,0.8700,-62.8100,-14.3400,-59.7500,1.062968,87.868050,"0.61,-0.03,0.87,-62.81,-14.34,-59.75"
