packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps,raw_payload
1,2026-07-27T13:57:27.882,0.104622,,0.6600,0.5700,-0.9700,-69.8900,-191.1000,-74.2800,1.304377,216.613343,"0.66,0.57,-0.97,-69.89,-191.10,-74.28"
2,2026-07-27T13:57:27.943,0.165581,60.958500,0.6600,0.5600,-0.8400,-52.8600,-184.0200,-70.0100,1.206151,203.860099,"0.66,0.56,-0.84,-52.86,-184.02,-70.01"
3,2026-07-27T13:57:28.004,0.227328,61.747600,0.6500,0.5400,-0.7200,-39.0000,-161.8000,-57.1300,1.110180,175.966124,"0.65,0.54,-0.72,-39.00,-161.80,-57.13"
4,2026-07-27T13:57:28.005,0.227507,0.178600,0.6400,0.5200,-0.6200,-25.1500,-118.7100,-40.6500,1.031698,127.972689,"0.64,0.52,-0.62,-25.15,-118.71,-40.65"
5,2026-07-27T13:57:28.062,0.284630,57.123200,0.5700,0.5300,-0.5500,-24.0500,-63.6600,-17.8800,0.953048,70.361158,"0.57,0.53,-0.55,-24.05,-63.66,-17.88"
6,2026-07-27T13:57:28.091,0.313864,29.233600,0.5000,0.5700,-0.5400,-37.0500,-4.7600,8.3000,0.930860,38.265521,"0.50,0.57,-0.54,-37.05,-4.76,8.30"
7,2026-07-27T13:57:28.121,0.343609,29.745700,0.4900,0.6000,-0.5600,-59.0800,42.1800,23.9300,0.955877,76.434571,"0.49,0.60,-0.56,-59.08,42.18,23.93"
8,2026-07-27T13:57:28.183,0.405552,61.942600,0.4800,0.6500,-0.5600,-103.5800,51.0300,32.9000,0.983107,120.063680,"0.48,0.65,-0.56,-103.58,51.03,32.90"
9,2026-07-27T13:57:28.230,0.452835,47.283000,0.4500,0.7500,-0.5400,-139.5300,36.9900,47.3000,1.027911,151.901847,"0.45,0.75,-0.54,-139.53,36.99,47.30"
10,2026-07-27T13:57:28.274,0.496762,43.927400,0.4200,0.8300,-0.5500,-130.1300,39.1800,75.3800,1.080648,155.406029,"0.42,0.83,-0.55,-130.13,39.18,75.38"
11,2026-07-27T13:57:28.334,0.557042,60.280000,0.4400,0.8900,-0.5400,-113.8300,67.2600,109.7400,1.130177,171.825621,"0.44,0.89,-0.54,-113.83,67.26,109.74"
12,2026-07-27T13:57:28.334,0.557199,0.156400,0.4500,0.9700,-0.4600,-117.0000,100.8900,128.1100,1.164045,200.698690,"0.45,0.97,-0.46,-117.00,100.89,128.11"
13,2026-07-27T13:57:28.361,0.583832,26.633600,0.4400,1.0500,-0.3800,-104.1300,106.2000,134.2200,1.200208,200.340973,"0.44,1.05,-0.38,-104.13,106.20,134.22"
14,2026-07-27T13:57:28.407,0.630364,46.532000,0.4200,1.0700,-0.3600,-65.9200,77.3300,135.6800,1.204533,169.512353,"0.42,1.07,-0.36,-65.92,77.33,135.68"
15,2026-07-27T13:57:28.467,0.690080,59.715400,0.3600,1.0400,-0.3300,-31.1900,36.6800,116.3300,1.148956,125.900387,"0.36,1.04,-0.33,-31.19,36.68,116.33"
16,2026-07-27T13:57:28.647,0.869720,179.639900,0.3100,1.0000,-0.2900,-10.8600,3.1700,76.4800,1.086370,77.312217,"0.31,1.00,-0.29,-10.86,3.17,76.48"
17,2026-07-27T13:57:28.647,0.869868,0.148700,0.2900,0.9600,-0.2500,-4.7600,-13.1200,35.1600,1.033538,37.828793,"0.29,0.96,-0.25,-4.76,-13.12,35.16"
18,2026-07-27T13:57:28.647,0.869947,0.078900,0.3200,0.9200,-0.2200,-9.2200,-16.3600,3.4800,0.998599,19.098911,"0.32,0.92,-0.22,-9.22,-16.36,3.48"
19,2026-07-27T13:57:28.647,0.870067,0.119600,0.3700,0.8900,-0.2000,-13.4900,-14.2800,-17.0300,0.984378,25.998450,"0.37,0.89,-0.20,-13.49,-14.28,-17.03"
20,2026-07-27T13:57:28.955,1.177637,307.569800,0.4200,0.8800,-0.1700,-13.0600,-13.1200,-30.5800,0.989798,35.746810,"0.42,0.88,-0.17,-13.06,-13.12,-30.58"
21,2026-07-27T13:57:28.955,1.177882,0.245300,0.4500,0.9000,-0.1500,-15.8100,-15.1400,-41.4400,1.017349,46.866292,"0.45,0.90,-0.15,-15.81,-15.14,-41.44"
22,2026-07-27T13:57:28.955,1.177980,0.098600,0.4700,0.9400,-0.1600,-22.5800,-18.4300,-50.9000,1.063062,58.654337,"0.47,0.94,-0.16,-22.58,-18.43,-50.90"
23,2026-07-27T13:57:28.955,1.178100,0.119400,0.5700,0.9400,-0.1600,-36.1300,-15.8700,-61.2200,1.110901,72.836270,"0.57,0.94,-0.16,-36.13,-15.87,-61.22"
24,2026-07-27T13:57:28.955,1.178121,0.021500,0.6200,0.8800,-0.1600,-38.5700,-17.4000,-61.2800,1.088301,74.469076,"0.62,0.88,-0.16,-38.57,-17.40,-61.28"
25,2026-07-27T13:57:28.955,1.178204,0.083100,0.6600,0.8100,-0.1500,-28.8700,-21.3000,-48.2800,1.055557,60.150855,"0.66,0.81,-0.15,-28.87,-21.30,-48.28"
26,2026-07-27T13:57:29.072,1.294440,116.235700,0.6800,0.7500,-0.1200,-26.0600,-19.5900,-36.1300,1.019461,48.664860,"0.68,0.75,-0.12,-26.06,-19.59,-36.13"
